atgard,name,sdb_amne,sdb_titel
23,GB010 - Information och undervisning riktad till närstående,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
24,AU120 - Upprättande av strukturerad vård- och omsorgsplan,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
25,AU123 - Upprättande av krisplan,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
26,AU124 - Upprättande av samordnad individuell plan(Ersatte 2018-01-01 koden XU045),Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
27,XS007 - Konferens med patient,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
28,XS008 - Konferens om patient,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
29,DU056 - Samtal med vuxen patient och berörd minderårig om barnets situation och behov,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
30,DU057 - Samtal med minderårig vars förälder är patient om den minderårigas situation och behov ,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
31,XU047 - Kvarhållning enligt lagen om psykiatrisk tvångsvård ,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
32,XU042 - Upprättande av samordnad vårdplan vid tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
33,GD005 - Vårdintyg,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
34,GD007 - Anmälan för utredning enligt LVM,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
35,GD008 - Anmälan enligt SoL angående barn med möjligt skyddsbehov,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
36,XS100 - Oplanerad inskrivning till sluten vård,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
37,ZV044 - Behandling administrerad via internet,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
38,ZV502 - Medverkan av företrädare för arbetsförmedlingen,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
39,ZV503 - Medverkan av företrädare för försäkringskassan,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
40,ZV504 - Medverkan av närstående,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
41,ZV505 - Medverkan av företrädare för annan medicinsk specialitet,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
42,ZV506 - Medverkan av företrädare för arbetsgivare,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
43,ZV507 - Medverkan av företrädare för skola,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
44,ZV508 - Medverkan av företrädare för barnomsorg,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
45,ZV509 - Medverkan av företrädare för socialtjänst,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
46,ZV510 - Medverkan av företrädare för kriminalvård,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
47,ZV511 - Medverkan av LSS-handläggare,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
48,ZV512 - Medverkan av personligt ombud,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
49,ZV513 - Medverkan av förvaltare eller god man,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
50,ZV514 - Medverkan av företrädare för patientens boende,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
51,ZV516 - Medverkan av väktare eller polis,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
