diagnos,grp,code,name,name_english,sdb_amne
A53,0105,A53,Annan eller icke specificerad syfilis,Other and unspecified syphilis,Dödsorsaker
A54,0105,A54,Gonokockinfektion,Gonococcal infection,Dödsorsaker
A55,0105,A55,Lymfogranulom (veneriskt) orsakat av klamydia,Chlamydial lymphogranuloma (venereum),Dödsorsaker
A56,0105,A56,Andra sexuellt överförda klamydiasjukdomar,Other sexually transmitted chlamydial diseases,Dödsorsaker
A57,0105,A57,Chankroid (mjuk schanker),Chancroid,Dödsorsaker
A58,0105,A58,Granuloma inguinale,Granuloma inguinale,Dödsorsaker
A59,0105,A59,Trikomonasinfektion,Trichomoniasis,Dödsorsaker
A60,0105,A60,Anogenital infektion med herpes simplex-virus,Anogenital herpesviral [herpes simplex] infection,Dödsorsaker
A63,0105,A63,Andra huvudsakligen sexuellt överförda sjukdomar som ej klassificeras annorstädes,"Other predominantly sexually transmitted diseases, not elsewhere classified",Dödsorsaker
A64,0105,A64,Icke specificerad sexuellt överförd sjukdom,Unspecified sexually transmitted disease,Dödsorsaker
0106,01,A65-A69,Andra spiroketsjukdomar,Other spirochaetal diseases,Dödsorsaker
A65,0106,A65,Icke venerisk syfilis,Nonvenereal syphilis,Dödsorsaker
A66,0106,A66,Yaws,Yaws,Dödsorsaker
A67,0106,A67,Pinta,Pinta [carate],Dödsorsaker
A68,0106,A68,Återfallsfeber,Relapsing fevers,Dödsorsaker
A69,0106,A69,Andra spiroketinfektioner,Other spirochaetal infections,Dödsorsaker
0107,01,A70-A74,Andra sjukdomar orsakade av klamydia,Other diseases caused by chlamydiae,Dödsorsaker
A70,0107,A70,Infektion orsakad av Chlamydia psittaci (papegojsjuka),Chlamydia psittaci infection,Dödsorsaker
A71,0107,A71,Trakom,Trachoma,Dödsorsaker
A74,0107,A74,Andra sjukdomar orsakade av klamydier,Other diseases caused by chlamydiae,Dödsorsaker
0108,01,A75-A79,Sjukdomar orsakade av rickettsiaarter,Rickettsioses,Dödsorsaker
A75,0108,A75,"Fläcktyfus överförd av löss, loppor eller kvalster",Typhus fever,Dödsorsaker
A77,0108,A77,Rickettsiasjukdom överförd av fästingar,Spotted fever [tick-borne rickettsioses],Dödsorsaker
A78,0108,A78,Q-feber,Q fever,Dödsorsaker
A79,0108,A79,Andra rickettsiasjukdomar,Other rickettsioses,Dödsorsaker
0109,01,A80-A89,Virussjukdomar i centrala nervsystemet,Viral infections of the central nervous system,Dödsorsaker
A80,0109,A80,Akut polio (barnförlamning),Acute poliomyelitis,Dödsorsaker
A81,0109,A81,Atypisk virusinfektion i centrala nervsystemet,Slow virus infections of central nervous system,Dödsorsaker
A82,0109,A82,Rabies (vattuskräck),Rabies,Dödsorsaker
A83,0109,A83,Virusencefalit överförd av myggor,Mosquito-borne viral encephalitis,Dödsorsaker
A84,0109,A84,Virusencefalit överförd av fästingar,Tick-borne viral encephalitis,Dödsorsaker
A85,0109,A85,Andra virusencefaliter som ej klassificeras annorstädes,"Other viral encephalitis, not elsewhere classified",Dödsorsaker
A86,0109,A86,Icke specificerad virusencefalit,Unspecified viral encephalitis,Dödsorsaker
A87,0109,A87,Virusmeningit,Viral meningitis,Dödsorsaker
A88,0109,A88,Andra virusinfektioner i centrala nervsystemet som ej klassificeras annorstädes,"Other viral infections of central nervous system, not elsewhere classified",Dödsorsaker
A89,0109,A89,Icke specificerad virusinfektion i centrala nervsystemet,Unspecified viral infection of central nervous system,Dödsorsaker
0110,01,A90-A99,Febersjukdomar orsakade av virus överförda av leddjur och virusorsakade hemorragiska febrar,Arthropod-borne viral fevers and viral haemorrhagic fevers,Dödsorsaker
A90,0110,A90,Denguefeber (klassisk dengue),Dengue fever [classical dengue],Dödsorsaker
A91,0110,A91,Hemorragisk denguefeber,Dengue haemorrhagic fever,Dödsorsaker
A92,0110,A92,Andra febersjukdomar orsakade av virus överförda av myggor,Other mosquito-borne viral fevers,Dödsorsaker
A93,0110,A93,"Andra febersjukdomar orsakade av virus överförda av leddjur, som ej klassificeras annorstädes","Other arthropod-borne viral fevers, not elsewhere classified",Dödsorsaker
A94,0110,A94,Icke specificerad febersjukdom orsakad av virus överfört av leddjur,Unspecified arthropod-borne viral fever,Dödsorsaker
A95,0110,A95,Gula febern,Yellow fever,Dödsorsaker
A96,0110,A96,Arenaviral hemorragisk feber,Arenaviral haemorrhagic fever,Dödsorsaker
A98,0110,A98,Andra hemorragiska febersjukdomar orsakade av virus som ej klassificeras annorstädes,"Other viral haemorrhagic fevers, not elsewhere classified",Dödsorsaker
A99,0110,A99,Icke specificerad hemorragisk febersjukdom orsakad av virus,Unspecified viral haemorrhagic fever,Dödsorsaker
0111,01,B00-B09,Virussjukdomar med hudutslag och slemhinneutslag,Viral infections characterized by skin and mucous membrane lesions,Dödsorsaker
B00,0111,B00,Herpes simplex-infektioner,Herpesviral [herpes simplex] infections,Dödsorsaker
B01,0111,B01,Vattkoppor,Varicella [chickenpox],Dödsorsaker
B02,0111,B02,Bältros,Zoster [herpes zoster],Dödsorsaker
B03,0111,B03,Smittkoppor,Smallpox,Dödsorsaker
B04,0111,B04,Apkoppor,Monkeypox,Dödsorsaker
B05,0111,B05,Mässling,Measles,Dödsorsaker
B06,0111,B06,Röda hund,Rubella [German measles],Dödsorsaker
B07,0111,B07,Virusvårtor,Viral warts,Dödsorsaker
B08,0111,B08,Andra virussjukdomar med hud- eller slemhinneutslag som ej klassificeras annorstädes,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Dödsorsaker
B09,0111,B09,Icke specificerad virusinfektion med hud- eller slemhinneutslag,Unspecified viral infection characterized by skin and mucous membrane lesions,Dödsorsaker
0112,01,B15-B19,Virushepatit,Viral hepatitis,Dödsorsaker
B15,0112,B15,Akut hepatit A,Acute hepatitis A,Dödsorsaker
B16,0112,B16,Akut hepatit B,Acute hepatitis B,Dödsorsaker
B17,0112,B17,Annan akut virushepatit,Other acute viral hepatitis,Dödsorsaker
B18,0112,B18,Kronisk virushepatit,Chronic viral hepatitis,Dödsorsaker
B19,0112,B19,Icke specificerad virushepatit,Unspecified viral hepatitis,Dödsorsaker
0113,01,B20-B24,Sjukdom orsakad av humant immunbristvirus [HIV],Human immunodeficiency virus [HIV] disease,Dödsorsaker
B20,0113,B20,Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med infektions- eller parasitsjukdom,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Dödsorsaker
B21,0113,B21,Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med maligna tumörer,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Dödsorsaker
B22,0113,B22,Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med andra specificerade sjukdomar,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Dödsorsaker
B23,0113,B23,Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med andra tillstånd,Human immunodeficiency virus [HIV] disease resulting in other conditions,Dödsorsaker
B24,0113,B24,Icke specificerad sjukdom orsakad av humant immunbristvirus [HIV],Unspecified human immunodeficiency virus [HIV] disease,Dödsorsaker
0114,01,B25-B34,Andra virussjukdomar,Other viral diseases,Dödsorsaker
B25,0114,B25,Cytomegalvirussjukdom,Cytomegaloviral disease,Dödsorsaker
B26,0114,B26,Påssjuka,Mumps,Dödsorsaker
B27,0114,B27,Körtelfeber,Infectious mononucleosis,Dödsorsaker
B30,0114,B30,Viruskonjunktivit,Viral conjunctivitis,Dödsorsaker
B33,0114,B33,Andra virussjukdomar som ej klassificeras annorstädes,"Other viral diseases, not elsewhere classified",Dödsorsaker
B34,0114,B34,Virussjukdom med icke specificerad lokalisation,Viral infection of unspecified site,Dödsorsaker
0115,01,B35-B49,Svampsjukdomar,Mycoses,Dödsorsaker
B35,0115,B35,Dermatofytos (hudsvampsjukdom),Dermatophytosis,Dödsorsaker
B36,0115,B36,Andra ytliga mykoser,Other superficial mycoses,Dödsorsaker
B37,0115,B37,Candidainfektion,Candidiasis,Dödsorsaker
B38,0115,B38,Koccidioidomykos,Coccidioidomycosis,Dödsorsaker
B39,0115,B39,Histoplasmos,Histoplasmosis,Dödsorsaker
B40,0115,B40,Blastomykos,Blastomycosis,Dödsorsaker
B41,0115,B41,Parakoccidioidomykos,Paracoccidioidomycosis,Dödsorsaker
B42,0115,B42,Sporotrikos,Sporotrichosis,Dödsorsaker
B43,0115,B43,Kromomykos eller feomykotisk abscess,Chromomycosis and phaeomycotic abscess,Dödsorsaker
B44,0115,B44,Aspergillos,Aspergillosis,Dödsorsaker
B45,0115,B45,Kryptokockos,Cryptococcosis,Dödsorsaker
B46,0115,B46,Zygomykos,Zygomycosis,Dödsorsaker
B47,0115,B47,Mycetom,Mycetoma,Dödsorsaker
B48,0115,B48,Andra mykoser som ej klassificeras annorstädes,"Other mycoses, not elsewhere classified",Dödsorsaker
B49,0115,B49,Icke specificerad mykos,Unspecified mycosis,Dödsorsaker
0116,01,B50-B64,Protozosjukdomar,Protozoal diseases,Dödsorsaker
B50,0116,B50,Malaria orsakad av Plasmodium falciparum,Plasmodium falciparum malaria,Dödsorsaker
B51,0116,B51,Malaria orsakad av Plasmodium vivax,Plasmodium vivax malaria,Dödsorsaker
B52,0116,B52,Malaria orsakad av Plasmodium malariae,Plasmodium malariae malaria,Dödsorsaker
B53,0116,B53,Annan parasitologiskt verifierad malaria,Other parasitologically confirmed malaria,Dödsorsaker
B54,0116,B54,"Malaria, ospecificerad",Unspecified malaria,Dödsorsaker
B55,0116,B55,Leishmanios,Leishmaniasis,Dödsorsaker
B56,0116,B56,Afrikansk trypanosomiasis (sömnsjuka),African trypanosomiasis,Dödsorsaker
B57,0116,B57,Chagas sjukdom,Chagas' disease,Dödsorsaker
B58,0116,B58,Toxoplasmos,Toxoplasmosis,Dödsorsaker
B59,0116,B59,Pneumocystis carinii-infektion,Pneumocystosis,Dödsorsaker
B60,0116,B60,Andra protozosjukdomar som ej klassificeras annorstädes,"Other protozoal diseases, not elsewhere classified",Dödsorsaker
B64,0116,B64,Icke specificerad protozosjukdom,Unspecified protozoal disease,Dödsorsaker
0117,01,B65-B83,Masksjukdomar,Helminthiases,Dödsorsaker
B65,0117,B65,Schistosomiasis,Schistosomiasis [bilharziasis],Dödsorsaker
B66,0117,B66,Andra trematodinfektioner (infektioner med flundror eller andra sugmaskar),Other fluke infections,Dödsorsaker
B67,0117,B67,Blåsmasksjuka,Echinococcosis,Dödsorsaker
B68,0117,B68,Taeniainfektion,Taeniasis,Dödsorsaker
B69,0117,B69,Cysticerkos,Cysticercosis,Dödsorsaker
B70,0117,B70,Infektion med binnikemaskar,Diphyllobothriasis and sparganosis,Dödsorsaker
B71,0117,B71,Andra bandmaskinfektioner,Other cestode infections,Dödsorsaker
B72,0117,B72,Dracontiasis,Dracunculiasis,Dödsorsaker
B73,0117,B73,Onchocerciasis,Onchocerciasis,Dödsorsaker
B74,0117,B74,Filariainfektion,Filariasis,Dödsorsaker
B75,0117,B75,Trikinos (sjukdom orsakad av trikiner),Trichinellosis,Dödsorsaker
B76,0117,B76,Hakmasksjukdom,Hookworm diseases,Dödsorsaker
B77,0117,B77,Spolmaskinfektion,Ascariasis,Dödsorsaker
B78,0117,B78,Strongyloidesinfektion,Strongyloidiasis,Dödsorsaker
B79,0117,B79,Piskmaskinfektion,Trichuriasis,Dödsorsaker
B80,0117,B80,Springmaskinfektion,Enterobiasis,Dödsorsaker
B81,0117,B81,Andra tarmmaskinfektioner som ej klassificeras annorstädes,"Other intestinal helminthiases, not elsewhere classified",Dödsorsaker
B82,0117,B82,Infektion med icke specificerade tarmparasiter,Unspecified intestinal parasitism,Dödsorsaker
B83,0117,B83,Andra masksjukdomar,Other helminthiases,Dödsorsaker
0118,01,B85-B89,"Lusangrepp, acarinos (angrepp av kvalster) och andra infestationer","Pediculosis, acariasis and other infestations",Dödsorsaker
B85,0118,B85,Lusangrepp,Pediculosis and phthiriasis,Dödsorsaker
B86,0118,B86,Skabb,Scabies,Dödsorsaker
B87,0118,B87,Infestation av fluglarver,Myiasis,Dödsorsaker
B88,0118,B88,Andra infestationer,Other infestations,Dödsorsaker
B89,0118,B89,Icke specificerade parasitsjukdomar,Unspecified parasitic disease,Dödsorsaker
0119,01,B90-B94,Sena effekter av infektionssjukdomar och parasitsjukdomar,Sequelae of infectious and parasitic diseases,Dödsorsaker
B90,0119,B90,Sena effekter av tuberkulos,Sequelae of tuberculosis,Dödsorsaker
B91,0119,B91,Sena effekter av polio,Sequelae of poliomyelitis,Dödsorsaker
B92,0119,B92,Sena effekter av lepra,Sequelae of leprosy,Dödsorsaker
B94,0119,B94,Sena effekter av andra eller icke specificerade infektionssjukdomar eller parasitsjukdomar,Sequelae of other and unspecified infectious and parasitic diseases,Dödsorsaker
0120,01,B95-B97,"Bakterier, virus och andra infektiösa organismer","Bacterial, viral and other infectious agents",Dödsorsaker
B95,0120,B95,Streptokocker eller stafylokocker som orsak till sjukdomar som klassificeras i andra kapitel,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Dödsorsaker
B96,0120,B96,Andra bakterier som orsak till sjukdomar som klassificeras under andra kapitel,Other bacterial agents as the cause of diseases classified to other chapters,Dödsorsaker
B97,0120,B97,Virus som orsak till sjukdomar som klassificeras i andra kapitel,Viral agents as the cause of diseases classified to other chapters,Dödsorsaker
0121,01,B99-B99,Andra infektionssjukdomar,Other infectious diseases,Dödsorsaker
B99,0121,B99,Andra eller icke specificerade infektionssjukdomar,Other and unspecified infectious diseases,Dödsorsaker
02,00,C00-D48,Tumörer,Neoplasms,Dödsorsaker
0201,02,C00-C14,"Maligna tumörer i läpp, munhåla och svalg","Malignant neoplasms of lip, oral cavity and pharynx",Dödsorsaker
C00,0201,C00,Malign tumör i läpp,Malignant neoplasm of lip,Dödsorsaker
C01,0201,C01,Malign tumör i tungbasen,Malignant neoplasm of base of tongue,Dödsorsaker
C02,0201,C02,Malign tumör i annan eller icke specificerad del av tungan,Malignant neoplasm of other and unspecified parts of tongue,Dödsorsaker
C03,0201,C03,Malign tumör i tandköttet,Malignant neoplasm of gum,Dödsorsaker
C04,0201,C04,Malign tumör i munbotten,Malignant neoplasm of floor of mouth,Dödsorsaker
C05,0201,C05,Malign tumör i gom,Malignant neoplasm of palate,Dödsorsaker
C06,0201,C06,Malign tumör i annan eller icke specificerad del av munhålan,Malignant neoplasm of other and unspecified parts of mouth,Dödsorsaker
C07,0201,C07,Malign tumör i parotiskörtel,Malignant neoplasm of parotid gland,Dödsorsaker
C08,0201,C08,Malign tumör i andra eller icke specificerade stora spottkörtlar,Malignant neoplasm of other and unspecified major salivary glands,Dödsorsaker
C09,0201,C09,Malign tumör i tonsill,Malignant neoplasm of tonsil,Dödsorsaker
C10,0201,C10,Malign tumör i orofarynx (mellansvalget),Malignant neoplasm of oropharynx,Dödsorsaker
C11,0201,C11,Malign tumör i rinofarynx (övre svalgrummet),Malignant neoplasm of nasopharynx,Dödsorsaker
C12,0201,C12,Malign tumör i fossa piriformis,Malignant neoplasm of pyriform sinus,Dödsorsaker
C13,0201,C13,Malign tumör i hypofarynx (svalget i höjd med struphuvudet),Malignant neoplasm of hypopharynx,Dödsorsaker
C14,0201,C14,"Malign tumör med annan eller ofullständigt angiven lokalisation i läpp, munhåla eller svalg","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Dödsorsaker
0202,02,C15-C26,Maligna tumörer i matsmältningsorganen,Malignant neoplasms of digestive organs,Dödsorsaker
C15,0202,C15,Malign tumör i matstrupen,Malignant neoplasm of oesophagus,Dödsorsaker
C16,0202,C16,Malign tumör i magsäcken,Malignant neoplasm of stomach,Dödsorsaker
C17,0202,C17,Malign tumör i tunntarmen,Malignant neoplasm of small intestine,Dödsorsaker
C18,0202,C18,Malign tumör i tjocktarmen,Malignant neoplasm of colon,Dödsorsaker
C19,0202,C19,Malign tumör i rektosigmoidala gränszonen,Malignant neoplasm of rectosigmoid junction,Dödsorsaker
C20,0202,C20,Malign tumör i ändtarmen,Malignant neoplasm of rectum,Dödsorsaker
C21,0202,C21,Malign tumör i anus eller analkanalen,Malignant neoplasm of anus and anal canal,Dödsorsaker
C22,0202,C22,Malign tumör i levern eller intrahepatiska gallgångarna,Malignant neoplasm of liver and intrahepatic bile ducts,Dödsorsaker
C23,0202,C23,Malign tumör i gallblåsan,Malignant neoplasm of gallbladder,Dödsorsaker
C24,0202,C24,Malign tumör i andra eller icke specificerade delar av gallvägarna,Malignant neoplasm of other and unspecified parts of biliary tract,Dödsorsaker
C25,0202,C25,Malign tumör i pankreas,Malignant neoplasm of pancreas,Dödsorsaker
C26,0202,C26,Malign tumör med annan eller ofullständigt angiven lokalisation i matsmältningsorganen,Malignant neoplasm of other and ill-defined digestive organs,Dödsorsaker
0203,02,C30-C39,Maligna tumörer i andningsorganen och brösthålans organ,Malignant neoplasms of respiratory and intrathoracic organs,Dödsorsaker
C30,0203,C30,Malign tumör i näshåla eller mellanöra,Malignant neoplasm of nasal cavity and middle ear,Dödsorsaker
C31,0203,C31,Malign tumör i näsans bihålor,Malignant neoplasm of accessory sinuses,Dödsorsaker
C32,0203,C32,Malign tumör i struphuvudet,Malignant neoplasm of larynx,Dödsorsaker
C33,0203,C33,Malign tumör i luftstrupen,Malignant neoplasm of trachea,Dödsorsaker
C34,0203,C34,Malign tumör i bronk eller lunga,Malignant neoplasm of bronchus and lung,Dödsorsaker
C37,0203,C37,Malign tumör i tymus,Malignant neoplasm of thymus,Dödsorsaker
C38,0203,C38,"Malign tumör i hjärtat, mediastinum (lungmellanrummet) eller lungsäcken","Malignant neoplasm of heart, mediastinum and pleura",Dödsorsaker
C39,0203,C39,Maligna tumörer med annan eller ofullständigt angiven lokalisation i andningsorganen eller brösthålans organ,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Dödsorsaker
0204,02,C40-C41,Maligna tumörer i ben och ledbrosk,Malignant neoplasms of bone and articular cartilage,Dödsorsaker
C40,0204,C40,Malign tumör i ben eller extremitetsledbrosk,Malignant neoplasm of bone and articular cartilage of limbs,Dödsorsaker
C41,0204,C41,Malign tumör i ben eller ledbrosk med annan eller icke specificerad lokalisation,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Dödsorsaker
0205,02,C43-C44,Melanom och andra maligna tumörer i huden,Melanoma and other malignant neoplasms of skin,Dödsorsaker
C43,0205,C43,Malignt melanom i huden,Malignant melanoma of skin,Dödsorsaker
C44,0205,C44,Andra maligna tumörer i huden,Other malignant neoplasms of skin,Dödsorsaker
0206,02,C45-C49,Maligna tumörer i mesotelial (kroppshåletäckande) vävnad och mjukvävnad,Malignant neoplasms of mesothelial and soft tissue,Dödsorsaker
C45,0206,C45,Mesoteliom,Mesothelioma,Dödsorsaker
C46,0206,C46,Kaposis sarkom,Kaposi's sarcoma,Dödsorsaker
C47,0206,C47,Malign tumör i perifera nerver eller autonoma nervsystemet,Malignant neoplasm of peripheral nerves and autonomic nervous system,Dödsorsaker
C48,0206,C48,Malign tumör i bukhinnan eller retroperitonealrummet (utrymmet bakom bukhinnan),Malignant neoplasm of retroperitoneum and peritoneum,Dödsorsaker
C49,0206,C49,Malign tumör i annan bindväv eller mjukvävnad,Malignant neoplasm of other connective and soft tissue,Dödsorsaker
0207,02,C50-C50,Malign tumör i bröstkörtel,Malignant neoplasm of breast,Dödsorsaker
C50,0207,C50,Malign tumör i bröstkörtel,Malignant neoplasm of breast,Dödsorsaker
0208,02,C51-C58,Maligna tumörer i de kvinnliga könsorganen,Malignant neoplasms of female genital organs,Dödsorsaker
C51,0208,C51,Malign tumör i vulva,Malignant neoplasm of vulva,Dödsorsaker
C52,0208,C52,Malign tumör i vagina,Malignant neoplasm of vagina,Dödsorsaker
C53,0208,C53,Malign tumör i livmoderhalsen,Malignant neoplasm of cervix uteri,Dödsorsaker
C54,0208,C54,Malign tumör i livmoderkroppen,Malignant neoplasm of corpus uteri,Dödsorsaker
C55,0208,C55,Malign tumör i livmodern med icke specificerad lokalisation,"Malignant neoplasm of uterus, part unspecified",Dödsorsaker
C56,0208,C56,Malign tumör i äggstock,Malignant neoplasm of ovary,Dödsorsaker
C57,0208,C57,Malign tumör i andra eller icke specificerade kvinnliga könsorgan,Malignant neoplasm of other and unspecified female genital organs,Dödsorsaker
C58,0208,C58,Malign tumör i moderkakan,Malignant neoplasm of placenta,Dödsorsaker
0209,02,C60-C63,Maligna tumörer i de manliga könsorganen,Malignant neoplasms of male genital organs,Dödsorsaker
C60,0209,C60,Malign tumör i penis,Malignant neoplasm of penis,Dödsorsaker
C61,0209,C61,Malign tumör i prostata,Malignant neoplasm of prostate,Dödsorsaker
C62,0209,C62,Malign tumör i testikel,Malignant neoplasm of testis,Dödsorsaker
C63,0209,C63,Malign tumör i andra eller icke specificerade manliga könsorgan,Malignant neoplasm of other and unspecified male genital organs,Dödsorsaker
0210,02,C64-C68,Maligna tumörer i urinorganen,Malignant neoplasms of urinary tract,Dödsorsaker
C64,0210,C64,Malign tumör i njure med undantag för njurbäcken,"Malignant neoplasm of kidney, except renal pelvis",Dödsorsaker
C65,0210,C65,Malign tumör i njurbäcken,Malignant neoplasm of renal pelvis,Dödsorsaker
C66,0210,C66,Malign tumör i uretär (urinledare),Malignant neoplasm of ureter,Dödsorsaker
C67,0210,C67,Malign tumör i urinblåsan,Malignant neoplasm of bladder,Dödsorsaker
C68,0210,C68,Malign tumör i andra eller icke specificerade urinorgan,Malignant neoplasm of other and unspecified urinary organs,Dödsorsaker
0211,02,C69-C72,"Maligna tumörer i öga, hjärnan och andra delar av centrala nervsystemet","Malignant neoplasms of eye, brain and other parts of central nervous system",Dödsorsaker
C69,0211,C69,Malign tumör i öga eller närliggande vävnader,Malignant neoplasm of eye and adnexa,Dödsorsaker
C70,0211,C70,Malign tumör i centrala nervsystemets hinnor,Malignant neoplasm of meninges,Dödsorsaker
C71,0211,C71,Malign tumör i hjärnan,Malignant neoplasm of brain,Dödsorsaker
C72,0211,C72,"Malign tumör i ryggmärgen, kranialnerver eller andra delar av centrala nervsystemet","Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",Dödsorsaker
0212,02,C73-C75,Maligna tumörer i tyreoidea och andra endokrina körtlar,Malignant neoplasms of thyroid and other endocrine glands,Dödsorsaker
C73,0212,C73,Malign tumör i tyreoidea,Malignant neoplasm of thyroid gland,Dödsorsaker
C74,0212,C74,Malign tumör i binjure,Malignant neoplasm of adrenal gland,Dödsorsaker
C75,0212,C75,Malign tumör i andra endokrina körtlar eller därmed besläktade vävnader,Malignant neoplasm of other endocrine glands and related structures,Dödsorsaker
0213,02,C76-C80,"Maligna tumörer med ofullständigt angivna, sekundära och icke specificerade lokalisationer","Malignant neoplasms of ill-defined, secondary and unspecified sites",Dödsorsaker
C76,0213,C76,Malign tumör med annan eller ofullständigt angiven lokalisation,Malignant neoplasm of other and ill-defined sites,Dödsorsaker
C77,0213,C77,Sekundär malign tumör (metastas) eller icke specificerad malign tumör i lymfkörtlar,Secondary and unspecified malignant neoplasm of lymph nodes,Dödsorsaker
