drg,name,sdb_amne,sdb_titel
A47N,TIA och ocklusion av precerebrala artärer,DRG i sluten vård,DRG_2012_och_senare
A50N,Ospecifika kärlsjukdomar i hjärnan,DRG i sluten vård,DRG_2012_och_senare
A51A,"Sjukdomar i hjärnnerver och perifera nerver, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A51C,"Sjukdomar i hjärnnerver och perifera nerver, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A51E,"Sjukdomar i hjärnnerver och perifera nerver, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A52A,"Infektioner i nervsystemet exkl virusmeningit, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A52E,"Infektioner i nervsystemet exkl virusmeningit, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A53C,"Virusmeningit, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A53E,"Virusmeningit, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A55C,"Icke-traumatisk stupor och koma, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A55E,"Icke-traumatisk stupor och koma, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A56A,"Kramper och huvudvärk, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A56C,"Kramper och huvudvärk, komplicerad",DRG i sluten vård,DRG_2012_och_senare
A56E,"Kramper och huvudvärk, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A60A,"Allvarlig traumatisk hjärnskada, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A60E,"Allvarlig traumatisk hjärnskada, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A61C,"Traumatisk hjärnskada, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A61E,"Traumatisk hjärnskada, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A62C,"Hjärnskakning, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A62E,"Hjärnskakning, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A69A,"Andra sjukdomar i nervsystemet, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A69C,"Andra sjukdomar i nervsystemet, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A69E,"Andra sjukdomar i nervsystemet, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A75O,"CNS-katetrar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A76O,"Algologiska blockader, resurskrävande, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A77O,"Algologiska blockader, övriga, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A78O,"CNS-diagnostik, annan, besök",DRG i sluten vård,DRG_2012_och_senare
A79O,"Läkemedelstillförsel i CNS, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A80O,"Lumbalpunktion, besök",DRG i sluten vård,DRG_2012_och_senare
A81O,"Elektroencefalografier, besök",DRG i sluten vård,DRG_2012_och_senare
A82O,"Elektromyo- och neurografier, besök",DRG i sluten vård,DRG_2012_och_senare
A83O,"Inställning av inopererade stimulatorer/shuntar, besök",DRG i sluten vård,DRG_2012_och_senare
A99O,Övriga läkarbesök vid sjukdomar i nervsystemet,DRG i sluten vård,DRG_2012_och_senare
A99X,Läkarbesök i team vid sjukdomar i nervsystemet,DRG i sluten vård,DRG_2012_och_senare
A99Z,Läkarvård per tel vid sjukdomar i nervsystemet,DRG i sluten vård,DRG_2012_och_senare
B01N,Större operationer på ögat,DRG i sluten vård,DRG_2012_och_senare
B02N,Operationer vid retinaavlossning,DRG i sluten vård,DRG_2012_och_senare
B03N,Andra operationer på retina,DRG i sluten vård,DRG_2012_och_senare
B04N,Operationer på näthinna,DRG i sluten vård,DRG_2012_och_senare
B04O,"Operationer på retina, öppenvård",DRG i sluten vård,DRG_2012_och_senare
B09C,"Operationer i orbita, komplicerat",DRG i sluten vård,DRG_2012_och_senare
B09E,"Operationer i orbita, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
B09O,"Operationer i orbita, öppenvård",DRG i sluten vård,DRG_2012_och_senare
B11N,Primära operationer på iris,DRG i sluten vård,DRG_2012_och_senare
B11O,"Primära operationer på iris, öppenvård",DRG i sluten vård,DRG_2012_och_senare
B12N,Linsoperationer utom discission av sekundär katarakt,DRG i sluten vård,DRG_2012_och_senare
B12O,"Linsoperationer utom discission av sekundär katarakt, öppenvård",DRG i sluten vård,DRG_2012_och_senare
B15C,"Extraokulära operationer exkl ögonhåla, komplicerat",DRG i sluten vård,DRG_2012_och_senare
B15E,"Extraokulära operationer exkl ögonhåla, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
B15O,"Extraokulära operationer exkl ögonhåla, öppenvård",DRG i sluten vård,DRG_2012_och_senare
B20C,"Intraokulära operationer utom på retina, iris och lins, komplicerat",DRG i sluten vård,DRG_2012_och_senare
B20E,"Intraokulära operationer utom på retina, iris och lins, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
B20O,"Intraokulära operationer utom på retina, iris och lins, öppenvård",DRG i sluten vård,DRG_2012_och_senare
B29N,Lokal strålbehandling av ögat,DRG i sluten vård,DRG_2012_och_senare
B30N,Hyphema,DRG i sluten vård,DRG_2012_och_senare
B31N,Allvarliga akuta ögoninfektioner,DRG i sluten vård,DRG_2012_och_senare
B35N,Neurologiska ögonsjukdomar,DRG i sluten vård,DRG_2012_och_senare
B39C,"Andra ögonsjukdomar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
B39E,"Andra ögonsjukdomar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
B75O,"Ögondiagnostik med större undersökning, besök",DRG i sluten vård,DRG_2012_och_senare
B76O,"Ögondiagnostik med biopsi, besök",DRG i sluten vård,DRG_2012_och_senare
B77O,"Ögondiagnostik med annan undersökning, besök",DRG i sluten vård,DRG_2012_och_senare
B78O,"Läkemedelstillförsel i ögonregionen, besök",DRG i sluten vård,DRG_2012_och_senare
B79O,"Fotodynamisk behandling vid makuladegeneration, öppenvård",DRG i sluten vård,DRG_2012_och_senare
B80O,"Ögonåtgärder, terapeutiska, besök",DRG i sluten vård,DRG_2012_och_senare
B81O,"Ögonfotografering, besök",DRG i sluten vård,DRG_2012_och_senare
B99O,Övriga läkarbesök vid sjukdomar i ögonregionen,DRG i sluten vård,DRG_2012_och_senare
B99X,Läkarbesök i team vid sjukdomar i ögonregionen,DRG i sluten vård,DRG_2012_och_senare
B99Z,Läkarvård per tel vid sjukdomar i ögonregionen,DRG i sluten vård,DRG_2012_och_senare
C01C,"Trakeostomi vid öron-, näs- och halssjukdomar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C01E,"Trakeostomi vid öron-, näs- och halssjukdomar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
C01O,"Trakeostomi, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C02N,Insättning av kokleaimplantat,DRG i sluten vård,DRG_2012_och_senare
C05N,Andra större operationer på huvud eller hals,DRG i sluten vård,DRG_2012_och_senare
C06N,Avlägsnande av parotisspottkörtel,DRG i sluten vård,DRG_2012_och_senare
C07N,Andra spottkörteloperationer,DRG i sluten vård,DRG_2012_och_senare
C08O,"Operationer på spottkörtel exkl avlägsnande, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C09N,Operation av kluven läpp och gom,DRG i sluten vård,DRG_2012_och_senare
C10N,Operationer på bihålor,DRG i sluten vård,DRG_2012_och_senare
C10O,"Operationer på bihålor, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C13N,Operationer på hörselben och andra benstrukturer i örat,DRG i sluten vård,DRG_2012_och_senare
C13O,"Operationer på hörselben och andra benstrukturer i örat, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C15N,"Diverse operationer på öron, näsa, mun och hals",DRG i sluten vård,DRG_2012_och_senare
C15O,"Diverse operationer på öron, näsa, mun och hals, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C16O,"Diverse små operationer på öron, näsa, mun och hals, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C17N,Operation för sömnapnésyndrom,DRG i sluten vård,DRG_2012_och_senare
C17O,"Operation för sömnapnésyndrom, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C18N,Näsplastiker,DRG i sluten vård,DRG_2012_och_senare
C18O,"Näsplastiker, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C20N,"Operation på tonsiller och adenoid, utom enbart tonsill- och adenoidektomi",DRG i sluten vård,DRG_2012_och_senare
C21N,Tonsillektomi och adenoidektomi enbart,DRG i sluten vård,DRG_2012_och_senare
C22N,Operation på tonsiller och adenoid,DRG i sluten vård,DRG_2012_och_senare
C22O,"Operationer på tonsiller och adenoid, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C29N,"Andra operationer i öron, näsa, mun och hals",DRG i sluten vård,DRG_2012_och_senare
C29O,"Andra operationer i öron, näsa, mun och hals, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C30A,"Maligna och oklara tumörer i öron, näsa, mun och hals, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
C30C,"Maligna och oklara tumörer i öron, näsa, mun och hals, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C30E,"Maligna och oklara tumörer i öron, näsa, mun och hals, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
C31C,"Balansproblem, yrsel, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C31E,"Balansproblem, yrsel, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
C32N,Näsblödning,DRG i sluten vård,DRG_2012_och_senare
C33N,Epiglottit,DRG i sluten vård,DRG_2012_och_senare
C35C,"Infektioner i övre luftvägar och öron, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C35E,"Infektioner i övre luftvägar och öron, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
C36N,Krupp och laryngotrakeit,DRG i sluten vård,DRG_2012_och_senare
C37C,"Obstruktivt sömnapnésyndrom, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C37E,"Obstruktivt sömnapnésyndrom, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
C40C,"Nästrauma och näsdeformitet, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C40E,"Nästrauma och näsdeformitet, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
C48C,"Andra sjukdomar i öra, näsa, mun & hals, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C48E,"Andra sjukdomar i öra, näsa, mun & hals, >17 år",DRG i sluten vård,DRG_2012_och_senare
C49N,"Andra sjukdomar i öra, näsa, mun & hals, 0-17 år",DRG i sluten vård,DRG_2012_och_senare
C50N,Operationer i munhålan,DRG i sluten vård,DRG_2012_och_senare
C50O,"Operationer i munhålan, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C55A,"Tand- & munhålesjukdomar utom tandextrakt & restaurering, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
C55C,"Tand- & munhålesjukdomar utom tandextrakt & restaurering, komplicerat",DRG i sluten vård,DRG_2012_och_senare
C55E,"Tand- & munhålesjukdomar utom tandextrakt & restaurering, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
C56N,Tandextraktion eller restaurering,DRG i sluten vård,DRG_2012_och_senare
C56O,"Tandextraktion eller restaurering, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C70O,"Endoskopi av övre luftvägar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C75O,"ÖNH-åtgärder, större, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C76O,"Sömnapnéutredning, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C77O,"Undersökning av dysfagi och icke-språklig oralmotorik, besök",DRG i sluten vård,DRG_2012_och_senare
C78O,"ÖNH-biopsier, besök",DRG i sluten vård,DRG_2012_och_senare
C79O,"ÖNH-incisioner och suturer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
C80O,"ÖNH-åtgärder, övriga, besök",DRG i sluten vård,DRG_2012_och_senare
C81O,"Hörselförbättrande åtgärder, besök",DRG i sluten vård,DRG_2012_och_senare
C82O,"Icke-operativa åtgärder vid kokleaimplantat, besök",DRG i sluten vård,DRG_2012_och_senare
C83O,"Audiometri, resurskrävande, besök",DRG i sluten vård,DRG_2012_och_senare
C84O,"Audiometri, övrig, besök",DRG i sluten vård,DRG_2012_och_senare
C99O,Övriga läkarbesök vid sjukdomar i ÖNH-regionen,DRG i sluten vård,DRG_2012_och_senare
C99X,Läkarbesök i team vid sjukdomar i ÖNH-regionen,DRG i sluten vård,DRG_2012_och_senare
C99Z,Läkarvård per tel vid sjukdomar i ÖNH-regionen,DRG i sluten vård,DRG_2012_och_senare
D01N,Lungtransplantation,DRG i sluten vård,DRG_2012_och_senare
D01O,"Lungtransplantation, öppenvård",DRG i sluten vård,DRG_2012_och_senare
D10A,"Större toraxoperationer, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D10E,"Större toraxoperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D10O,"Större toraxoperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
D19A,"Andra operationer på andningsorganen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D19C,"Andra operationer på andningsorganen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D19E,"Andra operationer på andningsorganen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D19O,"Andra operationer på andningsorganen, öppenvård",DRG i sluten vård,DRG_2012_och_senare
D20N,Respiratorbehandling för sjukdomar i andningsorganen,DRG i sluten vård,DRG_2012_och_senare
D21N,Behandling med CPAP/BiPAP,DRG i sluten vård,DRG_2012_och_senare
D22O,"Respiratorbehandling för sjukdomar i andningsorganen, öppenvård",DRG i sluten vård,DRG_2012_och_senare
D30A,"Lungemboli, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D30C,"Lungemboli, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D30E,"Lungemboli, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D31A,"Infektioner & inflammationer i andningsorganen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D31C,"Infektioner & inflammationer i andningsorganen, >17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D31E,"Infektioner & inflammationer i andningsorganen, >17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D32C,"Infektioner & inflammationer i andningsorganen, 0-17 år, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D32E,"Infektioner & inflammationer i andningsorganen, 0-17 år, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D35A,"Tumörer i andningsorganen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D35C,"Tumörer i andningsorganen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D35E,"Tumörer i andningsorganen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D40A,"Allvarliga toraxskador, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D40C,"Allvarliga toraxskador, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D40E,"Allvarliga toraxskador, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D41A,"Pleurautgjutning, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D41C,"Pleurautgjutning, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D41E,"Pleurautgjutning, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D42A,"Pneumotorax, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D42C,"Pneumotorax, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D42E,"Pneumotorax, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D45A,"Lungödem och respirationssvikt, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D45C,"Lungödem och respirationssvikt, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D45E,"Lungödem och respirationssvikt, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D46A,"Kroniska obstruktiva lungsjukdomar, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D46C,"Kroniska obstruktiva lungsjukdomar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D46E,"Kroniska obstruktiva lungsjukdomar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D47A,"Lunginflammation, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D47C,"Lunginflammation, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D47E,"Lunginflammation, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D48A,"Interstitiella lungsjukdomar, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D48E,"Interstitiella lungsjukdomar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D49A,"Bronkit och astma, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D49C,"Bronkit och astma, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D49E,"Bronkit och astma, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D50A,"Onormala fynd och symtom i andningsorganen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D50C,"Onormala fynd och symtom i andningsorganen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D50E,"Onormala fynd och symtom i andningsorganen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D69A,"Andra sjukdomar i andningsorganen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
D69C,"Andra sjukdomar i andningsorganen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
D69E,"Andra sjukdomar i andningsorganen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
D70O,"Endoskopi av nedre luftvägar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
D75O,"Lungfunktionsundersökningar, besök",DRG i sluten vård,DRG_2012_och_senare
D76O,"Toraxpunktion, öppenvård",DRG i sluten vård,DRG_2012_och_senare
D77O,"Lungmedicinska åtgärder, besök",DRG i sluten vård,DRG_2012_och_senare
D99O,Övriga läkarbesök vid sjukdomar i andningsorganen,DRG i sluten vård,DRG_2012_och_senare
D99X,Läkarbesök i team vid sjukdomar i andningsorganen,DRG i sluten vård,DRG_2012_och_senare
D99Z,Läkarvård per tel vid sjukdomar i andningsorganen,DRG i sluten vård,DRG_2012_och_senare
E01N,Hjärttransplantation och assisterad cirkulation,DRG i sluten vård,DRG_2012_och_senare
E01O,"Hjärttransplantation och assisterad cirkulation, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E02N,Operation av torakalt aortaaneurysm,DRG i sluten vård,DRG_2012_och_senare
E03N,Perkutan implantation av hjärtklaff,DRG i sluten vård,DRG_2012_och_senare
E04A,"Operation av hjärtklaffar, mycket komplicerat eller flera kompliserade",DRG i sluten vård,DRG_2012_och_senare
E04C,"Operation av hjärtklaffar, flera eller, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E04E,"Operation av enstaka hjärtklaffar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E05O,"Operation av hjärtklaffar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E06N,Koronar bypass-operation med kateterisering,DRG i sluten vård,DRG_2012_och_senare
E07A,"Koronar bypass-operation, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E07E,"Koronar bypass-operation, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E07O,"Koronar bypass-operation, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E10A,"Större kardiovaskulära operationer, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E10E,"Större kardiovaskulära operationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E10O,"Större kardiovaskulära operationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E15A,"Andra kardiotorakala operationer, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E15C,"Andra kardiotorakala operationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E15E,"Andra kardiotorakala operationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E15O,"Andra kardiotorakala operationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E16N,Andra perkutana kardiovaskulära åtgärder,DRG i sluten vård,DRG_2012_och_senare
E17N,Perkutan ablation för hjärtarytmi,DRG i sluten vård,DRG_2012_och_senare
E18C,"Perkutan vidgning av kranskärl vid hjärtinfarkt, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E18E,"Perkutan vidgning av kranskärl vid hjärtinfarkt, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E19N,"Perkutan vidgning av kranskärl, ej hjärtinfarkt",DRG i sluten vård,DRG_2012_och_senare
E19O,"Perkutana kardiovaskulära åtgärder, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E20A,"Amputationer pga cirkulationssjukdomar, andra delar än övre extremitet eller tå, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E20C,"Amputationer pga cirkulationssjukdomar, andra delar än övre extremitet eller tå, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E20E,"Amputationer pga cirkulationssjukdomar, andra delar än övre extremitet eller tå, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E20O,"Amputationer pga cirkulationssjukdomar, andra delar än övre extremitet eller tå, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E21C,"Amputationer av övre extremitet eller tå pga cirkulationssjukdomar, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E21E,"Amputationer av övre extremitet eller tå pga cirkulationssjukdomar, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E21O,"Amputationer av övre extremitet eller tå pga cirkulationssjukdomar, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E25N,Insättning eller byte av defibrillator,DRG i sluten vård,DRG_2012_och_senare
E26A,"Insättning eller byte av permanent pacemaker, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E26C,"Insättning eller byte av permanent pacemaker, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E26E,"Insättning eller byte av permanent pacemaker, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E27A,"Borttagande av permanent pacemaker eller defibrillator, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
E27E,"Borttagande av permanent pacemaker eller defibrillator, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E28O,"Insättning, byte eller borttagande av permanent pacemaker eller defibrillator, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E30N,Underbindning & stripping av ven,DRG i sluten vård,DRG_2012_och_senare
E30O,"Underbindning & stripping av ven, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E35C,"Övriga kärloperationer, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E35E,"Övriga kärloperationer, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E35O,"Övriga kärloperationer, öppenvård",DRG i sluten vård,DRG_2012_och_senare
E39C,"Andra operationer vid sjukdomar i cirkulationsorganen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
E39E,"Andra operationer vid sjukdomar i cirkulationsorganen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
E39O,"Andra operationer vid sjukdomar i cirkulationsorganen, öppenvård",DRG i sluten vård,DRG_2012_och_senare
