indikator,grpref,name,name_english,val,sdb_amne,sdb_titel
30,202,Åldersstandardiserad letalitet bland sjukhusvårdade som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Age standardized case fatality of AMI for hospitalized cases surviving the day of incidence. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
31,202,Åldersstandardiserad letalitet bland sjukhusvårdade. Döda inom ett år (döda dag 0-365) i procent,Age standardized case fatality of AMI for hospitalized cases. Deaths within 365 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
32,202,Åldersstandardiserad letalitet bland sjukhusvårdade. Döda inom 28 dagar (döda dag 0-27) i procent,Age standardized case fatality of AMI for hospitalized cases. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
33,202,Åldersstandardiserad letalitet bland sjukhusvårdade förstagångsfall som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Age standardized case fatality of primary AMI for hospitalized cases surviving the day of incidence. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
34,202,Åldersstandardiserad letalitet bland sjukhusvårdade förstagångsfall. Döda inom ett år (döda dag 0-365) i procent,Age standardized case fatality of primary AMI for hospitalized cases. Deaths within 365 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
35,202,Åldersstandardiserad letalitet bland sjukhusvårdade förstagångsfall. Döda inom 28 dagar (döda dag 0-27) i procent,Age standardized case fatality of primary AMI for hospitalized cases. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
101,-1,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
102,-1,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
104,-1,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
105,-1,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
201,105,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
202,105,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
1003,102,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
1005,104,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
1006,202,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
1007,202,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
1008,201,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
1009,201,,,0,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
1,101,Personer som sjukhusvårdats för akut hjärtinfarkt,Persons with at least one hospital admission with AMI,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
3,102,Förstagångsfall. Sjukhusvårdade fall av akut hjärtinfarkt efter sju infarktfria år,Hospitalized primary incident cases of AMI,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
4,104,Incidenta fall som sjukhusvårdats för akut hjärtinfarkt,Hospitalized incident cases of AMI,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
