diagnos,grp,code,name,comments,sdb_amne
0212,02,C73-C75,Maligna tumörer i tyreoidea och andra endokrina körtlar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0213,02,C76-C80,"Maligna tumörer med ofullständigt angivna, sekundära och icke specificerade lokalisationer",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0214,02,C81-C96,"Maligna tumörer i lymfatisk, blodbildande och besläktad vävnad",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0215,02,C97-C97,Flera (primära) maligna tumörer med olika utgångspunkter,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0216,02,D00-D09,Cancer in situ (lokalt begränsad cancer utgången från epitel),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0217,02,D10-D36,Benigna tumörer,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0218,02,D37-D48,Tumörer av osäker eller okänd natur,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
03,00,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0301,03,D50-D53,Nutritionsanemier,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0302,03,D55-D59,Hemolytiska anemier (blodbrist på grund av ökad nedbrytning av röda blodkroppar),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0303,03,D60-D64,Aplastisk anemi (blodbrist på grund av upphörd eller minskad blodbildning i benmärgen) och andra anemier,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0304,03,D65-D69,"Koagulationsrubbningar, purpura (punktformiga blödningar i huden mm) och andra blödningstillstånd",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0305,03,D70-D77,Andra sjukdomar i blod och blodbildande organ,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0306,03,D80-D89,Vissa rubbningar i immunsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
04,00,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0401,04,E00-E07,Sjukdomar i sköldkörteln,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0402,04,E10-E14,Diabetes,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0403,04,E15-E16,Andra rubbningar i glukosreglering och bukspottkörtelns inre sekretion,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0404,04,E20-E35,Sjukdomar i andra endokrina körtlar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0405,04,E40-E46,Näringsbrist,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0406,04,E50-E64,Andra näringsbristtillstånd,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0407,04,E65-E68,Fetma och andra övernäringstillstånd,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0408,04,E70-E90,Ämnesomsättningssjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
05,00,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0501,05,F00-F09,"Organiska, inklusive symtomatiska, psykiska störningar",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0502,05,F10-F19,Psykiska störningar och beteendestörningar orsakade av psykoaktiva substanser,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0503,05,F20-F29,"Schizofreni, schizotypa störningar och vanföreställningssyndrom",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0504,05,F30-F39,Förstämningssyndrom,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0505,05,F40-F48,"Neurotiska, stressrelaterade och somatoforma syndrom",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0506,05,F50-F59,Beteendestörningar förenade med fysiologiska rubbningar och fysiska faktorer,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0507,05,F60-F69,Personlighetsstörningar och beteendestörningar hos vuxna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0508,05,F70-F79,Psykisk utvecklingsstörning,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0509,05,F80-F89,Störningar av psykisk utveckling,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0510,05,F90-F98,Beteendestörningar och emotionella störningar med debut vanligen under barndom och ungdomstid,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0511,05,F99-F99,Ospecificerad psykisk störning,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
06,00,G00-G99,Sjukdomar i nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0601,06,G00-G09,Inflammatoriska sjukdomar i centrala nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0602,06,G10-G14,Systemiska atrofier som primärt engagerar centrala nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0603,06,G20-G26,Basalgangliesjukdomar och rörelserubbningar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0604,06,G30-G32,Andra degenerativa sjukdomar i nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0605,06,G35-G37,Myelinförstörande sjukdomar i centrala nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0606,06,G40-G47,Episodiska och paroxysmala sjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0607,06,G50-G59,"Sjukdomar i nerver, nervrötter och nervplexus",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0608,06,G60-G64,Polyneuropatier (samtidig sjukdom i flera perifera nerver) och andra sjukdomar i perifera nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0609,06,G70-G73,Neuromuskulära transmissionsrubbningar (rubbningar i överföring av impulser mellan nerver och muskler) och sjukdomar i muskler,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0610,06,G80-G83,Cerebral pares och andra förlamningssyndrom,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0611,06,G90-G99,Andra sjukdomar i nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
07,00,H00-H59,Sjukdomar i ögat och närliggande organ,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0701,07,H00-H06,"Sjukdomar i ögonlock, tårapparat och ögonhåla",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0702,07,H10-H13,Sjukdomar i bindehinnan,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0703,07,H15-H22,"Sjukdomar i senhinnan, hornhinnan, regnbågshinnan och ciliarkroppen",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0704,07,H25-H28,Sjukdomar i linsen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0705,07,H30-H36,Sjukdomar i åderhinnan och näthinnan,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0706,07,H40-H42,Glaukom (grön starr),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0707,07,H43-H45,Sjukdomar i glaskroppen och ögongloben,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0708,07,H46-H48,Sjukdomar i synnerven och synbanorna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0709,07,H49-H52,"Sjukdomar i ögonmusklerna, förändringar i de binokulära rörelserna samt ögats ackommodation och refraktion",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0710,07,H53-H54,Synstörningar och blindhet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0711,07,H55-H59,Andra sjukdomar i ögat och närliggande organ,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
08,00,H60-H95,Sjukdomar i örat och mastoidutskottet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0801,08,H60-H62,Sjukdomar i ytterörat och hörselgången,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0802,08,H65-H75,Sjukdomar i mellanörat och mastoidutskottet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0803,08,H80-H83,Sjukdomar i innerörat,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0804,08,H90-H95,Andra öronsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
09,00,I00-I99,Cirkulationsorganens sjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0901,09,I00-I02,Akut reumatisk feber,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0902,09,I05-I09,Kroniska reumatiska hjärtsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0903,09,I10-I15,Hypertonisjukdomar (högt blodtryck och därmed sammanhängande sjukdomar),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0904,09,I20-I25,Ischemiska hjärtsjukdomar (sjukdomar orsakade av otillräcklig blodtillförsel till hjärtmuskeln),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0905,09,I26-I28,Sjukdomstillstånd inom lungcirkulationen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0906,09,I30-I52,Andra former av hjärtsjukdom,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0907,09,I60-I69,Sjukdomar i hjärnans kärl,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0908,09,I70-I79,"Sjukdomar i artärer, arterioler (småartärer) och kapillärer",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0909,09,I80-I89,"Sjukdomar i vener, lymfkärl och lymfkörtlar som ej klassificeras annorstädes",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0910,09,I95-I99,Andra och icke specificerade sjukdomar i cirkulationsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
10,00,J00-J99,Andningsorganens sjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1001,10,J00-J06,Akuta infektioner i övre luftvägarna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1002,10,J09-J18,Influensa och lunginflammation,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1003,10,J20-J22,Andra akuta infektioner i nedre luftvägarna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1004,10,J30-J39,Andra sjukdomar i övre luftvägarna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1005,10,J40-J47,Kroniska sjukdomar i nedre luftvägarna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1006,10,J60-J70,Lungsjukdomar av yttre orsaker,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1007,10,J80-J84,Andra lungsjukdomar som huvudsakligen engagerar interstitiet (lungornas stödjevävnad),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1008,10,J85-J86,Variga och nekrotiska tillstånd i nedre luftvägarna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1009,10,J90-J94,Andra sjukdomar i lungsäcken,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1010,10,J95-J99,Andra sjukdomar i andningsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
11,00,K00-K93,Matsmältningsorganens sjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1101,11,K00-K14,"Sjukdomar i munhåla, spottkörtlar och käkar",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1102,11,K20-K31,"Matstrupens, magsäckens och tolvfingertarmens sjukdomar",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1103,11,K35-K38,Sjukdomar i blindtarmen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1104,11,K40-K46,Bråck,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1105,11,K50-K52,Icke infektiös inflammation i tunntarmen och tjocktarmen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1106,11,K55-K64,Andra sjukdomar i tarmen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1107,11,K65-K67,Sjukdomar i bukhinnan,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1108,11,K70-K77,Sjukdomar i levern,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1109,11,K80-K87,"Sjukdomar i gallblåsan, gallvägarna och bukspottkörteln",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1110,11,K90-K93,Andra sjukdomar i matsmältningsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
12,00,L00-L99,Hudens och underhudens sjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1201,12,L00-L08,Infektioner i hud och underhud,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1202,12,L10-L14,Blåsdermatoser (hudsjukdomar med blåsor),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1203,12,L20-L30,Dermatit och eksem,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1204,12,L40-L45,Papuloskvamösa sjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1205,12,L50-L54,Urtikaria (nässelfeber) och erytematösa tillstånd (tillstånd med hudrodnad),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1206,12,L55-L59,Strålningsrelaterade sjukdomar i hud och underhud,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1207,12,L60-L75,"Sjukdomar i hår, hårfolliklar, naglar, talgkörtlar och svettkörtlar",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1208,12,L80-L99,Andra sjukdomar i hud och underhud,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
13,00,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1301,13,M00-M03,Infektiösa ledsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1302,13,M05-M14,Inflammatoriska polyartriter,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1303,13,M15-M19,Artros,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1304,13,M20-M25,Andra ledsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1305,13,M30-M36,Inflammatoriska systemsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1306,13,M40-M43,Deformerande ryggsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1307,13,M45-M49,Spondylopatier,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1308,13,M50-M54,Andra ryggsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1309,13,M60-M63,Muskelsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1310,13,M65-M68,Sjukdomar i ledhinnor och senor,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1311,13,M70-M79,Andra sjukdomar i mjukvävnader,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1312,13,M80-M85,Rubbningar i bentäthet och benstruktur,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1313,13,M86-M90,Andra sjukdomar i benvävnad,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1314,13,M91-M94,Sjukdomar i broskvävnad,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1315,13,M95-M99,Andra sjukdomar i muskuloskeletala systemet och bindväven,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
14,00,N00-N99,Sjukdomar i urin- och könsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1401,14,N00-N08,Glomerulussjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1402,14,N10-N16,Tubulo-interstitiella njursjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1403,14,N17-N19,Njursvikt,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1404,14,N20-N23,Sten i urinvägarna,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1405,14,N25-N29,Andra sjukdomar i njure och urinledare,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1406,14,N30-N39,Andra sjukdomar i urinorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1407,14,N40-N51,Sjukdomar i de manliga könsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1408,14,N60-N64,Sjukdomar i bröstkörtel,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1409,14,N70-N77,Inflammatoriska sjukdomar i de kvinnliga bäckenorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1410,14,N80-N98,Icke inflammatoriska sjukdomar i de kvinnliga könsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1411,14,N99-N99,Andra sjukliga tillstånd i urin- och könsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
15,00,O00-O99,"Graviditet, förlossning och barnsängstid",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1501,15,O00-O08,Graviditet som avslutas med abort,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1502,15,O10-O16,"Ödem, proteinuri (äggvita i urinen) och hypertoni under graviditet, förlossning och barnsängstid",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1503,15,O20-O29,Andra sjukdomar hos den blivande modern i huvudsak sammanhängande med graviditeten,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1504,15,O30-O48,Vård under graviditet på grund av problem relaterade till fostret och amnionhålan samt befarade förlossningsproblem,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1505,15,O60-O75,Komplikationer vid värkarbete och förlossning,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1506,15,O80-O84,Förlossning,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1507,15,O85-O92,Komplikationer huvudsakligen sammanhängande med barnsängstiden,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1508,15,O94-O99,Andra obstetriska tillstånd som ej klassificeras annorstädes (O94-O99),,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
16,00,P00-P96,Vissa perinatala tillstånd,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1601,16,P00-P04,"Foster och nyfödd som påverkats av tillstånd hos modern och av komplikationer vid graviditet, värkarbete och förlossning",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1602,16,P05-P08,Sjukdomar som har samband med graviditetslängd och fostertillväxt,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1603,16,P10-P15,Förlossningsskador,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1604,16,P20-P29,Sjukdomar i andningsorgan och cirkulationsorgan specifika för den perinatala perioden,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1605,16,P35-P39,Infektioner specifika för den perinatala perioden,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1606,16,P50-P61,Blödningssjukdomar och blodsjukdomar hos foster och nyfödd,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1607,16,P70-P74,Övergående endokrina rubbningar och ämnesomsättningsrubbningar specifika för foster och nyfödd,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1608,16,P75-P78,Sjukdomar i matsmältningsorganen hos foster och nyfödd,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1609,16,P80-P83,Tillstånd som engagerar hud och temperaturreglering hos foster och nyfödd,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1610,16,P90-P96,Andra sjukdomar och rubbningar under den perinatala perioden,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
17,00,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1701,17,Q00-Q07,Medfödda missbildningar av nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1702,17,Q10-Q18,"Medfödda missbildningar av öga, öra, ansikte och hals",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1703,17,Q20-Q28,Medfödda missbildningar av cirkulationsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1704,17,Q30-Q34,Medfödda missbildningar av andningsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1705,17,Q35-Q37,Kluven läpp och gom,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1706,17,Q38-Q45,Andra medfödda missbildningar av matsmältningsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1707,17,Q50-Q56,Medfödda missbildningar av könsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1708,17,Q60-Q64,Medfödda missbildningar av urinorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1709,17,Q65-Q79,Medfödda missbildningar och deformiteter av muskler och skelett,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1710,17,Q80-Q89,Andra medfödda missbildningar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1711,17,Q90-Q99,Kromosomavvikelser som ej klassificeras annorstädes,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
18,00,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1801,18,R00-R09,Symtom och sjukdomstecken från cirkulationsorganen och andningsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1802,18,R10-R19,Symtom och sjukdomstecken från matsmältningsorganen och buken,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1803,18,R20-R23,Symtom och sjukdomstecken från huden och underhuden,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1804,18,R25-R29,Symtom och sjukdomstecken från nervsystemet och muskuloskeletala systemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1805,18,R30-R39,Symtom och sjukdomstecken från urinorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1806,18,R40-R46,"Symtom och sjukdomstecken avseende intellektuella funktioner, uppfattningsförmåga, känsloläge och beteende",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1807,18,R47-R49,Symtom och sjukdomstecken avseende talet och rösten,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1808,18,R50-R69,Allmänna symtom och sjukdomstecken,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1809,18,R70-R79,Onormala fynd vid blodundersökning utan diagnos,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1810,18,R80-R82,Onormala fynd vid urinundersökning utan diagnos,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1811,18,R83-R89,"Onormala fynd vid undersökning av andra kroppsvätskor, substanser och vävnader, utan diagnos",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
1812,18,R90-R94,Onormala fynd vid radiologisk diagnostik och vid funktionsundersökning utan diagnos,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
