atc,grp,code,name,sdb_amne,sdb_titel
A02AH,A02A,A02AH,Antacida med natriumvätekarbonat,Läkemedel,ATC-koder
A02B,A02,A02B,Medel vid magsår och gastroesofageal refluxsjukdom,Läkemedel,ATC-koder
A02BA,A02B,A02BA,Histamin-2-receptorantagonister,Läkemedel,ATC-koder
A02BA01,A02BA,A02BA01,Cimetidin,Läkemedel,ATC-koder
A02BA02,A02BA,A02BA02,Ranitidin,Läkemedel,ATC-koder
A02BA03,A02BA,A02BA03,Famotidin,Läkemedel,ATC-koder
A02BA53,A02BA,A02BA53,"Famotidin, kombinationer",Läkemedel,ATC-koder
A02BB,A02B,A02BB,Prostaglandiner,Läkemedel,ATC-koder
A02BB01,A02BB,A02BB01,Misoprostol,Läkemedel,ATC-koder
A02BC,A02B,A02BC,Protonpumpshämmare,Läkemedel,ATC-koder
A02BC01,A02BC,A02BC01,Omeprazol,Läkemedel,ATC-koder
A02BC02,A02BC,A02BC02,Pantoprazol,Läkemedel,ATC-koder
A02BC03,A02BC,A02BC03,Lansoprazol,Läkemedel,ATC-koder
A02BC04,A02BC,A02BC04,Rabeprazol,Läkemedel,ATC-koder
A02BC05,A02BC,A02BC05,Esomeprazol,Läkemedel,ATC-koder
A02BD,A02B,A02BD,Kombinationer för eradikering av Helicobacter pylori,Läkemedel,ATC-koder
A02BD06,A02BD,A02BD06,"Esomeprazol, amoxicillin och klaritromycin",Läkemedel,ATC-koder
A02BX,A02B,A02BX,Övriga medel vid magsår och gastroesofageal refluxsjukdom,Läkemedel,ATC-koder
A02BX02,A02BX,A02BX02,Sukralfat,Läkemedel,ATC-koder
A02BX03,A02BX,A02BX03,Pirenzepin,Läkemedel,ATC-koder
A02BX05,A02BX,A02BX05,Vismutsubcitrat,Läkemedel,ATC-koder
A02BX13,A02BX,A02BX13,Alginsyra,Läkemedel,ATC-koder
A03,A,A03,Medel vid funktionella mag-tarmsymtom,Läkemedel,ATC-koder
A03A,A03,A03A,Medel vid funktionella mag-tarmsymtom,Läkemedel,ATC-koder
A03AA,A03A,A03AA,"Syntetiska antikolinergika, estrar med tertiär aminogrupp",Läkemedel,ATC-koder
A03AA04,A03AA,A03AA04,Mebeverin,Läkemedel,ATC-koder
A03AA07,A03AA,A03AA07,Dicycloverin,Läkemedel,ATC-koder
A03AB,A03A,A03AB,"Syntetiska antikolinergika, kvartära ammoniumföreningar",Läkemedel,ATC-koder
A03AB02,A03AB,A03AB02,Glykopyrroniumbromid,Läkemedel,ATC-koder
A03AB05,A03AB,A03AB05,Propantelin,Läkemedel,ATC-koder
A03AB12,A03AB,A03AB12,Mepensolat,Läkemedel,ATC-koder
A03AD,A03A,A03AD,Papaverin och derivat,Läkemedel,ATC-koder
A03AD01,A03AD,A03AD01,Papaverin,Läkemedel,ATC-koder
A03AX,A03A,A03AX,Övriga medel vid funktionella mag-tarmsymtom,Läkemedel,ATC-koder
A03AX04,A03AX,A03AX04,Pinaverin,Läkemedel,ATC-koder
A03AX12,A03AX,A03AX12,Floroglucinol,Läkemedel,ATC-koder
A03AX13,A03AX,A03AX13,Silikoner,Läkemedel,ATC-koder
A03B,A03,A03B,Belladonnaalkaloider och derivat,Läkemedel,ATC-koder
A03BA,A03B,A03BA,Belladonnaalkaloider med tertiär aminogrupp,Läkemedel,ATC-koder
A03BA01,A03BA,A03BA01,Atropin,Läkemedel,ATC-koder
A03BA03,A03BA,A03BA03,Hyoscyamin,Läkemedel,ATC-koder
A03BB,A03B,A03BB,"Semisyntetiska belladonnalkaloider, kvartära ammoniumföreningar",Läkemedel,ATC-koder
A03BB01,A03BB,A03BB01,Butylskopolamin,Läkemedel,ATC-koder
A03BB03,A03BB,A03BB03,Metylskopolamin,Läkemedel,ATC-koder
A03C,A03,A03C,Spasmolytika i kombination med lugnande medel,Läkemedel,ATC-koder
A03CA,A03C,A03CA,Syntetiska antikolinergika i kombination med lugnande medel,Läkemedel,ATC-koder
A03CA02,A03CA,A03CA02,Klidinium och lugnande medel,Läkemedel,ATC-koder
A03F,A03,A03F,Motilitetsstimulerande medel,Läkemedel,ATC-koder
A03FA,A03F,A03FA,Motilitetsstimulerande medel,Läkemedel,ATC-koder
A03FA01,A03FA,A03FA01,Metoklopramid,Läkemedel,ATC-koder
A03FA02,A03FA,A03FA02,Cisaprid,Läkemedel,ATC-koder
A03FA03,A03FA,A03FA03,Domperidon,Läkemedel,ATC-koder
A04,A,A04,Antiemetika,Läkemedel,ATC-koder
A04A,A04,A04A,Antiemetika,Läkemedel,ATC-koder
A04AA,A04A,A04AA,Serotonin (5HT3) receptorantagonister,Läkemedel,ATC-koder
A04AA01,A04AA,A04AA01,Ondansetron,Läkemedel,ATC-koder
A04AA02,A04AA,A04AA02,Granisetron,Läkemedel,ATC-koder
A04AA03,A04AA,A04AA03,Tropisetron,Läkemedel,ATC-koder
A04AA05,A04AA,A04AA05,Palonosetron,Läkemedel,ATC-koder
A04AA55,A04AA,A04AA55,"Palonosetron, kombinationer",Läkemedel,ATC-koder
A04AD,A04A,A04AD,Övriga antiemetika,Läkemedel,ATC-koder
A04AD01,A04AD,A04AD01,Skopolamin,Läkemedel,ATC-koder
A04AD10,A04AD,A04AD10,Dronabinol,Läkemedel,ATC-koder
A04AD12,A04AD,A04AD12,Aprepitant,Läkemedel,ATC-koder
A04AD14,A04AD,A04AD14,Rolapitant,Läkemedel,ATC-koder
A05,A,A05,Gall- och leverterapi,Läkemedel,ATC-koder
A05A,A05,A05A,Gallterapi,Läkemedel,ATC-koder
A05AA,A05A,A05AA,Gallsyror och derivat,Läkemedel,ATC-koder
A05AA01,A05AA,A05AA01,Kenodeoxicholsyra,Läkemedel,ATC-koder
A05AA02,A05AA,A05AA02,Ursodeoxicholsyra,Läkemedel,ATC-koder
A05AA03,A05AA,A05AA03,Cholsyra,Läkemedel,ATC-koder
A05AA04,A05AA,A05AA04,Obeticholsyra,Läkemedel,ATC-koder
A05B,A05,A05B,"Leverterapi, lipotroper",Läkemedel,ATC-koder
A05BA,A05B,A05BA,Leverterapi,Läkemedel,ATC-koder
A06,A,A06,Medel vid förstoppning,Läkemedel,ATC-koder
A06A,A06,A06A,Medel vid förstoppning,Läkemedel,ATC-koder
A06AA,A06A,A06AA,"Mjukgörare, emulgeringsmedel",Läkemedel,ATC-koder
A06AA01,A06AA,A06AA01,Flytande paraffin,Läkemedel,ATC-koder
A06AB,A06A,A06AB,Tarmirriterande medel,Läkemedel,ATC-koder
A06AB02,A06AB,A06AB02,Bisakodyl,Läkemedel,ATC-koder
A06AB05,A06AB,A06AB05,Ricinolja,Läkemedel,ATC-koder
A06AB06,A06AB,A06AB06,Sennaglykosider,Läkemedel,ATC-koder
A06AB08,A06AB,A06AB08,Natriumpikosulfat,Läkemedel,ATC-koder
A06AB56,A06AB,A06AB56,"Sennaglykosider, kombinationer",Läkemedel,ATC-koder
A06AB57,A06AB,A06AB57,"Sagrada, bark med kombinationer",Läkemedel,ATC-koder
A06AB58,A06AB,A06AB58,"Natriumpikosulfat, kombinationer",Läkemedel,ATC-koder
A06AC,A06A,A06AC,Bulkbildande laxermedel,Läkemedel,ATC-koder
A06AC01,A06AC,A06AC01,Loppfrö och vitt loppfrö,Läkemedel,ATC-koder
A06AC03,A06AC,A06AC03,Sterkuliagummi,Läkemedel,ATC-koder
A06AC07,A06AC,A06AC07,Kostfiber av vetefröskal,Läkemedel,ATC-koder
A06AC51,A06AC,A06AC51,"Loppfrö och vitt loppfrö, kombinationer",Läkemedel,ATC-koder
A06AD,A06A,A06AD,Osmotiskt aktiva laxermedel,Läkemedel,ATC-koder
A06AD02,A06AD,A06AD02,Magnesiumoxid,Läkemedel,ATC-koder
A06AD04,A06AD,A06AD04,Magnesiumsulfat,Läkemedel,ATC-koder
A06AD10,A06AD,A06AD10,Mineralsalter i kombination,Läkemedel,ATC-koder
A06AD11,A06AD,A06AD11,Laktulos,Läkemedel,ATC-koder
A06AD12,A06AD,A06AD12,Laktitol,Läkemedel,ATC-koder
A06AD13,A06AD,A06AD13,Natriumsulfat,Läkemedel,ATC-koder
A06AD15,A06AD,A06AD15,Makrogol,Läkemedel,ATC-koder
A06AD18,A06AD,A06AD18,Sorbitol,Läkemedel,ATC-koder
A06AD65,A06AD,A06AD65,"Makrogol, kombinationer",Läkemedel,ATC-koder
A06AG,A06A,A06AG,Klysma,Läkemedel,ATC-koder
A06AG01,A06AG,A06AG01,Natriumfosfat,Läkemedel,ATC-koder
A06AG02,A06AG,A06AG02,Bisakodyl,Läkemedel,ATC-koder
A06AG07,A06AG,A06AG07,Sorbitol,Läkemedel,ATC-koder
A06AG10,A06AG,A06AG10,"Dokusatnatrium, inkl. kombinationer",Läkemedel,ATC-koder
A06AG11,A06AG,A06AG11,"Natriumlaurylsulfoacetat, inkl. kombinationer",Läkemedel,ATC-koder
A06AH,A06A,A06AH,Perifera opioidreceptorantagonister,Läkemedel,ATC-koder
A06AH01,A06AH,A06AH01,Metylnaltrexonbromid,Läkemedel,ATC-koder
A06AH03,A06AH,A06AH03,Naloxegol,Läkemedel,ATC-koder
A06AX,A06A,A06AX,Övriga medel vid förstoppning,Läkemedel,ATC-koder
A06AX01,A06AX,A06AX01,Glycerol,Läkemedel,ATC-koder
A06AX02,A06AX,A06AX02,Koldioxidutvecklande medel,Läkemedel,ATC-koder
A06AX03,A06AX,A06AX03,Lubiproston,Läkemedel,ATC-koder
A06AX04,A06AX,A06AX04,Linaklotid,Läkemedel,ATC-koder
A06AX05,A06AX,A06AX05,Prukaloprid,Läkemedel,ATC-koder
A06AX06,A06AX,A06AX06,Tegaserod,Läkemedel,ATC-koder
A07,A,A07,"Antidiarroika, intestinala antiinflammatoriska och antiinfektiva medel",Läkemedel,ATC-koder
A07A,A07,A07A,Medel vid tarminfektioner,Läkemedel,ATC-koder
A07AA,A07A,A07AA,Antibiotika,Läkemedel,ATC-koder
A07AA02,A07AA,A07AA02,Nystatin,Läkemedel,ATC-koder
A07AA06,A07AA,A07AA06,Paromomycin,Läkemedel,ATC-koder
A07AA09,A07AA,A07AA09,Vankomycin,Läkemedel,ATC-koder
A07AA11,A07AA,A07AA11,Rifaximin,Läkemedel,ATC-koder
A07AA12,A07AA,A07AA12,Fidaxomicin,Läkemedel,ATC-koder
A07AX,A07A,A07AX,Övriga medel vid intestinala infektioner,Läkemedel,ATC-koder
A07AX02,A07AX,A07AX02,Acetarsol,Läkemedel,ATC-koder
A07B,A07,A07B,Antidiarroika,Läkemedel,ATC-koder
A07BA,A07B,A07BA,Adsorberande medel,Läkemedel,ATC-koder
A07BA01,A07BA,A07BA01,Medicinskt kol,Läkemedel,ATC-koder
A07BB,A07B,A07BB,Vismutpreparat,Läkemedel,ATC-koder
A07D,A07,A07D,Propulsionsdämpande medel,Läkemedel,ATC-koder
A07DA,A07D,A07DA,Propulsionsdämpande medel,Läkemedel,ATC-koder
A07DA01,A07DA,A07DA01,Difenoxylat,Läkemedel,ATC-koder
A07DA02,A07DA,A07DA02,Opium,Läkemedel,ATC-koder
A07DA03,A07DA,A07DA03,Loperamid,Läkemedel,ATC-koder
A07DA05,A07DA,A07DA05,Loperamidoxid,Läkemedel,ATC-koder
A07DA06,A07DA,A07DA06,Eluxadolin,Läkemedel,ATC-koder
A07DA53,A07DA,A07DA53,"Loperamid, kombinationer",Läkemedel,ATC-koder
A07E,A07,A07E,Medel vid intestinala inflammationer,Läkemedel,ATC-koder
A07EA,A07E,A07EA,Kortikosteroider för lokal behandling,Läkemedel,ATC-koder
A07EA01,A07EA,A07EA01,Prednisolon,Läkemedel,ATC-koder
A07EA02,A07EA,A07EA02,Hydrokortison,Läkemedel,ATC-koder
A07EA06,A07EA,A07EA06,Budesonid,Läkemedel,ATC-koder
A07EB,A07E,A07EB,"Antiallergika, exkl. kortikosteroider",Läkemedel,ATC-koder
A07EB01,A07EB,A07EB01,Natriumkromoglikat,Läkemedel,ATC-koder
A07EC,A07E,A07EC,Aminosalicylsyra och liknande medel,Läkemedel,ATC-koder
A07EC01,A07EC,A07EC01,Sulfasalazin,Läkemedel,ATC-koder
A07EC02,A07EC,A07EC02,Mesalazin,Läkemedel,ATC-koder
A07EC03,A07EC,A07EC03,Olsalazin,Läkemedel,ATC-koder
A07EC04,A07EC,A07EC04,Balsalazid,Läkemedel,ATC-koder
A07F,A07,A07F,"Antidiarroika, mikroorganismer",Läkemedel,ATC-koder
A07FA,A07F,A07FA,"Antidiarroika, mikroorganismer",Läkemedel,ATC-koder
A07FA02,A07FA,A07FA02,Saccharomyces boulardii,Läkemedel,ATC-koder
A07X,A07,A07X,Övriga medel mot diarre,Läkemedel,ATC-koder
A07XA,A07X,A07XA,Övriga medel mot diarre,Läkemedel,ATC-koder
A07XA03,A07XA,A07XA03,Kalciumföreningar,Läkemedel,ATC-koder
A07XA04,A07XA,A07XA04,Racekadotril,Läkemedel,ATC-koder
A08,A,A08,"Antiobesitasmedel, exkl. dietprodukter",Läkemedel,ATC-koder
A08A,A08,A08A,"Antiobesitasmedel, exkl. dietprodukter",Läkemedel,ATC-koder
A08AA,A08A,A08AA,"Antiobesitasmedel, centralt verkande",Läkemedel,ATC-koder
A08AA10,A08AA,A08AA10,Sibutramin,Läkemedel,ATC-koder
A08AA62,A08AA,A08AA62,Bupropion och naltrexon,Läkemedel,ATC-koder
A08AB,A08A,A08AB,"Antiobesitasmedel, perifert verkande",Läkemedel,ATC-koder
A08AB01,A08AB,A08AB01,Orlistat,Läkemedel,ATC-koder
A08AX,A08A,A08AX,Övriga antiobesitasmedel,Läkemedel,ATC-koder
A08AX01,A08AX,A08AX01,Rimonabant,Läkemedel,ATC-koder
A09,A,A09,"Digestionsmedel, inkl. enzymer",Läkemedel,ATC-koder
A09A,A09,A09A,"Digestionsmedel, inkl. enzymer",Läkemedel,ATC-koder
A09AA,A09A,A09AA,Digestionsenzymer,Läkemedel,ATC-koder
A09AA02,A09AA,A09AA02,"Multienzymer (lipas, proteas m.fl.)",Läkemedel,ATC-koder
A09AB,A09A,A09AB,Saltsyraersättningsmedel,Läkemedel,ATC-koder
A09AB01,A09AB,A09AB01,Aciglumin,Läkemedel,ATC-koder
A10,A,A10,Diabetesmedel,Läkemedel,ATC-koder
A10A,A10,A10A,Insuliner och analoger,Läkemedel,ATC-koder
A10AA,A10A,A10AA,Insuliner och analoger,Läkemedel,ATC-koder
A10AB,A10A,A10AB,"Insuliner och analoger för injektion, snabbverkande",Läkemedel,ATC-koder
A10AB01,A10AB,A10AB01,Insulin (humant),Läkemedel,ATC-koder
A10AB04,A10AB,A10AB04,"Insulin, lispro",Läkemedel,ATC-koder
A10AB05,A10AB,A10AB05,"Insulin, aspart",Läkemedel,ATC-koder
A10AB06,A10AB,A10AB06,"Insulin, glulisin",Läkemedel,ATC-koder
A10AC,A10A,A10AC,"Insuliner och analoger för injektion, medellångverkande",Läkemedel,ATC-koder
A10AC01,A10AC,A10AC01,Insulin (humant),Läkemedel,ATC-koder
A10AD,A10A,A10AD,"Insuliner och analoger för injektion, medellång- eller långverkande i kombination med snabbverkande",Läkemedel,ATC-koder
A10AD01,A10AD,A10AD01,Insulin (humant),Läkemedel,ATC-koder
A10AD04,A10AD,A10AD04,"Insulin, lispro",Läkemedel,ATC-koder
A10AD05,A10AD,A10AD05,"Insulin, aspart",Läkemedel,ATC-koder
A10AE,A10A,A10AE,"Insuliner och analoger för injektion, långverkande",Läkemedel,ATC-koder
A10AE01,A10AE,A10AE01,Insulin (humant),Läkemedel,ATC-koder
A10AE04,A10AE,A10AE04,"Insulin, glargin",Läkemedel,ATC-koder
A10AE05,A10AE,A10AE05,"Insulin, detemir",Läkemedel,ATC-koder
A10AE06,A10AE,A10AE06,"Insulin, degludek",Läkemedel,ATC-koder
A10AE54,A10AE,A10AE54,"Insulin, glargin och lixisenatid",Läkemedel,ATC-koder
A10AE56,A10AE,A10AE56,"Insulin, degludek och liraglutid",Läkemedel,ATC-koder
A10AF,A10A,A10AF,Insuliner och analoger för inhalation,Läkemedel,ATC-koder
A10AF01,A10AF,A10AF01,Insulin (humant),Läkemedel,ATC-koder
A10B,A10,A10B,"Blodglukossänkande medel, exkl. insuliner",Läkemedel,ATC-koder
A10BA,A10B,A10BA,Biguanidderivat,Läkemedel,ATC-koder
A10BA02,A10BA,A10BA02,Metformin,Läkemedel,ATC-koder
A10BB,A10B,A10BB,Sulfonylureaföreningar,Läkemedel,ATC-koder
A10BB01,A10BB,A10BB01,Glibenklamid,Läkemedel,ATC-koder
A10BB02,A10BB,A10BB02,Klorpropamid,Läkemedel,ATC-koder
A10BB03,A10BB,A10BB03,Tolbutamid,Läkemedel,ATC-koder
A10BB07,A10BB,A10BB07,Glipizid,Läkemedel,ATC-koder
A10BB09,A10BB,A10BB09,Gliklazid,Läkemedel,ATC-koder
A10BB12,A10BB,A10BB12,Glimepirid,Läkemedel,ATC-koder
A10BD,A10B,A10BD,"Perorala blodglukossänkande medel, kombinationer",Läkemedel,ATC-koder
A10BD03,A10BD,A10BD03,Metformin och rosiglitazon,Läkemedel,ATC-koder
A10BD04,A10BD,A10BD04,Glimepirid och rosiglitazon,Läkemedel,ATC-koder
A10BD05,A10BD,A10BD05,Metformin och pioglitazon,Läkemedel,ATC-koder
A10BD07,A10BD,A10BD07,Metformin och sitagliptin,Läkemedel,ATC-koder
A10BD08,A10BD,A10BD08,Metformin och vildagliptin,Läkemedel,ATC-koder
A10BD10,A10BD,A10BD10,Metformin och saxagliptin,Läkemedel,ATC-koder
A10BD11,A10BD,A10BD11,Metformin och linagliptin,Läkemedel,ATC-koder
A10BD15,A10BD,A10BD15,Metformin och dapagliflozin,Läkemedel,ATC-koder
A10BD16,A10BD,A10BD16,Metformin och kanagliflozin,Läkemedel,ATC-koder
A10BD19,A10BD,A10BD19,Linagliptin och empagliflozin,Läkemedel,ATC-koder
A10BD20,A10BD,A10BD20,Metformin och empagliflozin,Läkemedel,ATC-koder
A10BD21,A10BD,A10BD21,Saxagliptin och dapagliflozin,Läkemedel,ATC-koder
A10BD23,A10BD,A10BD23,Metformin och ertugliflozin,Läkemedel,ATC-koder
A10BD24,A10BD,A10BD24,Sitagliptin och ertugliflozin,Läkemedel,ATC-koder
A10BF,A10B,A10BF,Alfa-glukosidashämmare,Läkemedel,ATC-koder
A10BF01,A10BF,A10BF01,Akarbos,Läkemedel,ATC-koder
A10BG,A10B,A10BG,Tiazolidindioner,Läkemedel,ATC-koder
A10BG02,A10BG,A10BG02,Rosiglitazon,Läkemedel,ATC-koder
A10BG03,A10BG,A10BG03,Pioglitazon,Läkemedel,ATC-koder
A10BH,A10B,A10BH,Dipeptidylpeptidas 4 (DPP-4) hämmare,Läkemedel,ATC-koder
A10BH01,A10BH,A10BH01,Sitagliptin,Läkemedel,ATC-koder
A10BH02,A10BH,A10BH02,Vildagliptin,Läkemedel,ATC-koder
A10BH03,A10BH,A10BH03,Saxagliptin,Läkemedel,ATC-koder
A10BH05,A10BH,A10BH05,Linagliptin,Läkemedel,ATC-koder
A10BJ,A10B,A10BJ,Glukagonlikpeptid-1-receptor(Glp-1)analoger,Läkemedel,ATC-koder
A10BJ01,A10BJ,A10BJ01,Exenatid,Läkemedel,ATC-koder
A10BJ02,A10BJ,A10BJ02,Liraglutid,Läkemedel,ATC-koder
A10BJ03,A10BJ,A10BJ03,Lixisenatid,Läkemedel,ATC-koder
A10BJ05,A10BJ,A10BJ05,Dulaglutid,Läkemedel,ATC-koder
A10BJ06,A10BJ,A10BJ06,Semaglutid,Läkemedel,ATC-koder
A10BK,A10B,A10BK,Natriumglukossamtransportör 2(Sglt2)hämmare,Läkemedel,ATC-koder
A10BK01,A10BK,A10BK01,Dapagliflozin,Läkemedel,ATC-koder
A10BK02,A10BK,A10BK02,Kanagliflozin,Läkemedel,ATC-koder
A10BK03,A10BK,A10BK03,Empagliflozin,Läkemedel,ATC-koder
A10BK04,A10BK,A10BK04,Ertugliflozin,Läkemedel,ATC-koder
A10BX,A10B,A10BX,"Övriga blodglukossänkande medel, exkl insuliner",Läkemedel,ATC-koder
A10BX02,A10BX,A10BX02,Repaglinid,Läkemedel,ATC-koder
A10BX03,A10BX,A10BX03,Nateglinid,Läkemedel,ATC-koder
A11,A,A11,Vitaminer,Läkemedel,ATC-koder
A11A,A11,A11A,"Multivitaminer, kombinationer",Läkemedel,ATC-koder
A11AA,A11A,A11AA,Multivitaminer och mineralämnen,Läkemedel,ATC-koder
A11AA01,A11AA,A11AA01,Multivitaminer och järn,Läkemedel,ATC-koder
A11AB,A11A,A11AB,"Multivitaminer, övriga kombinationer",Läkemedel,ATC-koder
A11B,A11,A11B,Multivitaminer,Läkemedel,ATC-koder
A11BA,A11B,A11BA,Multivitaminer,Läkemedel,ATC-koder
A11C,A11,A11C,"Vitamin A och D, inkl. kombinationer av de två",Läkemedel,ATC-koder
A11CA,A11C,A11CA,Retinol (vitamin A),Läkemedel,ATC-koder
A11CA01,A11CA,A11CA01,Retinol (vitamin A),Läkemedel,ATC-koder
A11CA02,A11CA,A11CA02,Betakaroten,Läkemedel,ATC-koder
A11CB,A11C,A11CB,Vitamin A och D i kombination,Läkemedel,ATC-koder
A11CC,A11C,A11CC,Vitamin D och analoger,Läkemedel,ATC-koder
A11CC01,A11CC,A11CC01,Ergokalciferol,Läkemedel,ATC-koder
A11CC02,A11CC,A11CC02,Dihydrotakysterol,Läkemedel,ATC-koder
A11CC03,A11CC,A11CC03,Alfakalcidol,Läkemedel,ATC-koder
A11CC04,A11CC,A11CC04,Kalcitriol,Läkemedel,ATC-koder
A11CC05,A11CC,A11CC05,Kolekalciferol,Läkemedel,ATC-koder
A11CC20,A11CC,A11CC20,Kombinationer,Läkemedel,ATC-koder
A11D,A11,A11D,"Vitamin B1, inkl. kombinationer med vitamin B6 och B12",Läkemedel,ATC-koder
A11DA,A11D,A11DA,Tiamin (vitamin B1),Läkemedel,ATC-koder
A11DA01,A11DA,A11DA01,Tiamin (vitamin B1),Läkemedel,ATC-koder
A11DB,A11D,A11DB,Vitamin B1 i kombination med vitamin B6 och/eller vitamin B12,Läkemedel,ATC-koder
A11E,A11,A11E,"Vitamin B-komplex, inkl. kombinationer",Läkemedel,ATC-koder
A11EA,A11E,A11EA,Vitamin B-komplex,Läkemedel,ATC-koder
A11EB,A11E,A11EB,Vitamin B-komplex med vitamin C,Läkemedel,ATC-koder
A11EX,A11E,A11EX,"Vitamin B-komplex, övriga kombinationer",Läkemedel,ATC-koder
A11G,A11,A11G,Askorbinsyra (vitamin C) inkl. kombinationer,Läkemedel,ATC-koder
A11GA,A11G,A11GA,Askorbinsyra (vitamin C),Läkemedel,ATC-koder
A11GA01,A11GA,A11GA01,Askorbinsyra (vitamin C),Läkemedel,ATC-koder
A11H,A11,A11H,Övriga vitaminberedningar,Läkemedel,ATC-koder
A11HA,A11H,A11HA,Övriga vitaminberedningar,Läkemedel,ATC-koder
A11HA01,A11HA,A11HA01,Nikotinamid,Läkemedel,ATC-koder
A11HA02,A11HA,A11HA02,Pyridoxin (vitamin B6),Läkemedel,ATC-koder
A11HA03,A11HA,A11HA03,Tokoferol (vitamin E),Läkemedel,ATC-koder
A11HA05,A11HA,A11HA05,Biotin,Läkemedel,ATC-koder
A11HA08,A11HA,A11HA08,Tokofersolan,Läkemedel,ATC-koder
A11J,A11,A11J,Övriga kombinationer med vitaminer,Läkemedel,ATC-koder
A11JB,A11J,A11JB,Vitaminer med mineralämnen,Läkemedel,ATC-koder
A11JC,A11J,A11JC,"Vitaminer, övriga kombinationer",Läkemedel,ATC-koder
A12,A,A12,Mineralämnen,Läkemedel,ATC-koder
A12A,A12,A12A,Kalcium,Läkemedel,ATC-koder
A12AA,A12A,A12AA,Kalcium,Läkemedel,ATC-koder
A12AA02,A12AA,A12AA02,Kalciumglubionat,Läkemedel,ATC-koder
A12AA03,A12AA,A12AA03,Kalciumglukonat,Läkemedel,ATC-koder
A12AA04,A12AA,A12AA04,Kalciumkarbonat,Läkemedel,ATC-koder
A12AA05,A12AA,A12AA05,Kalciumlaktat,Läkemedel,ATC-koder
A12AA06,A12AA,A12AA06,Kalciumlaktoglukonat,Läkemedel,ATC-koder
A12AA07,A12AA,A12AA07,Kalciumklorid,Läkemedel,ATC-koder
A12AX,A12A,A12AX,"Kalcium, kombinationer med vitamin D och/eller övriga läkemedel",Läkemedel,ATC-koder
A12B,A12,A12B,Kalium,Läkemedel,ATC-koder
A12BA,A12B,A12BA,Kalium,Läkemedel,ATC-koder
A12BA01,A12BA,A12BA01,Kaliumklorid,Läkemedel,ATC-koder
A12BA02,A12BA,A12BA02,Kaliumcitrat,Läkemedel,ATC-koder
A12BA03,A12BA,A12BA03,Kaliumvätetartrat,Läkemedel,ATC-koder
A12BA30,A12BA,A12BA30,Kalium (olika salter i kombination),Läkemedel,ATC-koder
A12BA51,A12BA,A12BA51,"Kaliumklorid, kombinationer",Läkemedel,ATC-koder
A12C,A12,A12C,Övriga mineralämnen,Läkemedel,ATC-koder
A12CA,A12C,A12CA,Natrium,Läkemedel,ATC-koder
A12CA01,A12CA,A12CA01,Natriumklorid,Läkemedel,ATC-koder
A12CB,A12C,A12CB,Zink,Läkemedel,ATC-koder
A12CB01,A12CB,A12CB01,Zinksulfat,Läkemedel,ATC-koder
A12CC,A12C,A12CC,Magnesium,Läkemedel,ATC-koder
A12CC02,A12CC,A12CC02,Magnesiumsulfat,Läkemedel,ATC-koder
