operation,grp,code,name
AAW99,AAW,AAW99,Annan operation på kraniet eller intrakraniell struktur
AB,A,AB,Operationer på ryggmärgen och nervrötter
ABA,AB,ABA,Diagnostiska operationer på ryggmärgen och nervrötter
ABA00,ABA,ABA00,Explorativ laminektomi
ABA10,ABA,ABA10,Biopsi av patologisk förändring i spinalkanal
ABA20,ABA,ABA20,Intratekal endoskopi
ABA30,ABA,ABA30,Epiduroskopi
ABA99,ABA,ABA99,Annan diagnostisk operation på ryggmärg eller nervrötter
ABB,AB,ABB,Operationer för patologisk förändring i ryggmärgen och nervrötter
ABB00,ABB,ABB00,Exstirpation av förändring i spinalkanalen
ABB02,ABB,ABB02,Exstirpation av förändring i nervrot
ABB04,ABB,ABB04,Destruktion av förändring i nervrot
ABB06,ABB,ABB06,Perkutan destruktion av förändring i nervrot
ABB10,ABB,ABB10,Resektion av förändring i spinalkanalen
ABB20,ABB,ABB20,Dränage av cysta i spinalkanalen
ABB30,ABB,ABB30,Destruktion av förändring i spinalkanalen
ABB40,ABB,ABB40,Utrymning av spontant hematom i spinalkanalen
ABB99,ABB,ABB99,Annan operation för patologisk förändring i ryggmärgen eller nervrötter
ABC,AB,ABC,Dekompressiva operationer på ryggmärgen och nervrötter
ABC01,ABC,ABC01,Perkutan endoskopisk diskektomi i halsryggraden
ABC04,ABC,ABC04,Perkutan endoskopisk diskektomi i bröstryggraden
ABC07,ABC,ABC07,Perkutan endoskopisk diskektomi i ländryggraden
ABC10,ABC,ABC10,Mikrokirurgisk diskektomi i halsryggraden
ABC13,ABC,ABC13,Mikrokirurgisk diskektomi i bröstryggraden
ABC16,ABC,ABC16,Mikrokirurgisk diskektomi i ländryggraden
ABC20,ABC,ABC20,Öppen diskektomi i halsryggraden
ABC21,ABC,ABC21,Främre dekompression i halsryggraden med inläggande av främre fixationsimplantat
ABC23,ABC,ABC23,Öppen diskektomi i bröstryggraden
ABC26,ABC,ABC26,Öppen diskektomi i ländryggraden
ABC28,ABC,ABC28,Inläggande av expanderande implantat mellan spinalutskotten
ABC30,ABC,ABC30,Dekompression av nervrötter i halsryggraden
ABC33,ABC,ABC33,Dekompression av nervrötter i bröstryggraden
ABC36,ABC,ABC36,Dekompression av nervrötter i ländryggraden
ABC40,ABC,ABC40,Dekompression av cauda equina i sakrum
ABC50,ABC,ABC50,Dekompression av ryggmärgen och nervrötter i halsryggraden
ABC53,ABC,ABC53,Dekompression av ryggmärgen och nervrötter i bröstryggraden
ABC56,ABC,ABC56,Dekompression av ryggmärgen och nervrötter vid degenerativa förändringar i ländryggraden
ABC60,ABC,ABC60,Dekompression av ryggmärgen i halsryggraden
ABC63,ABC,ABC63,Dekompression av ryggmärgen i bröstryggraden
ABC66,ABC,ABC66,Dekompression av ryggmärgen i ländryggraden
ABC99,ABC,ABC99,Annan dekompressiv operation av ryggmärgen eller nervrötter
ABD,AB,ABD,Operationer på ryggmärgen och nervrötter pga smärta och funktionella störningar
ABD10,ABD,ABD10,Öppen kordotomi
ABD15,ABD,ABD15,Perkutan kordotomi
ABD20,ABD,ABD20,Myelotomi
ABD30,ABD,ABD30,Inläggande av spinal stimuleringsutrustning
ABD40,ABD,ABD40,Inläggande av spinal injektionsport
ABD50,ABD,ABD50,Avskärning av spinal nervrot p.g.a. smärta eller funktionell störning
ABD60,ABD,ABD60,Implantation av spinal nervelektrod PNE 1
ABD65,ABD,ABD65,Implantation av spinal nervstimuleringsutrustning PNE 2
ABD99,ABD,ABD99,Annan operation på ryggmärgen eller nervrötter p.g.a. smärta och funktionell störning
ABE,AB,ABE,Operationer p g a spinala missbildningar
ABE10,ABE,ABE10,Exstirpation och plastik av myelo- eller meningocele
ABE20,ABE,ABE20,Lösning av fjättrad ryggmärg eller diastematomyeli
ABE30,ABE,ABE30,Exstirpation av dermal sinus
ABE40,ABE,ABE40,Operation för hydromyeli
ABE50,ABE,ABE50,Occipitocervikal dekompression
ABE99,ABE,ABE99,Annan operation p.g.a. spinal missbildning
ABW,AB,ABW,Andra operationer på ryggmärgen och nervrötter
ABW99,ABW,ABW99,Annan operation på ryggmärgen eller nervrötter
AC,A,AC,Operationer på perifera nerver
ACA,AC,ACA,Diagnostiska operationer på perifera nerver
ACA11,ACA,ACA11,Exploration av n. medianus
ACA12,ACA,ACA12,Exploration av n. radialis
ACA13,ACA,ACA13,Exploration av n. ulnaris
ACA14,ACA,ACA14,Exploration av n. peroneus
ACA15,ACA,ACA15,Exploration av n. tibialis
ACA16,ACA,ACA16,Exploration av n. ischiadicus
ACA17,ACA,ACA17,Exploration av plexus lumbalis
ACA18,ACA,ACA18,Exploration av plexus brachialis
ACA19,ACA,ACA19,Exploration av annan eller ospecificerad perifer nerv
ACA21,ACA,ACA21,Biopsi av n. medianus
ACA22,ACA,ACA22,Biopsi av n. radialis
ACA23,ACA,ACA23,Biopsi av n. ulnaris
ACA24,ACA,ACA24,Biopsi av n. peroneus
ACA25,ACA,ACA25,Biopsi av n. tibialis
ACA26,ACA,ACA26,Biopsi av n. ischiadicus
ACA27,ACA,ACA27,Biopsi av plexus lumbalis
ACA28,ACA,ACA28,Biopsi av plexus brachialis
ACA29,ACA,ACA29,Biopsi av annan eller ospecificerad perifer nerv
ACA91,ACA,ACA91,Annan diagnostisk operation på n. medianus
ACA92,ACA,ACA92,Annan diagnostisk operation på n. radialis
ACA93,ACA,ACA93,Annan diagnostisk operation på n. ulnaris
ACA94,ACA,ACA94,Annan diagnostisk operation på n. peroneus
ACA95,ACA,ACA95,Annan diagnostisk operation på n. tibialis
ACA96,ACA,ACA96,Annan diagnostisk operation på n. ischiadicus
ACA97,ACA,ACA97,Annan diagnostisk operation på plexus lumbalis
ACA98,ACA,ACA98,Annan diagnostisk operation på plexus brachialis
ACA99,ACA,ACA99,Annan diagnostisk operation på annan eller ospecificerad perifer nerv
ACB,AC,ACB,Operationer pga patologisk förändring eller skada på perifera nerver
ACB11,ACB,ACB11,Exstirpation av patologisk förändring från n. medianus
ACB12,ACB,ACB12,Exstirpation av patologisk förändring från n. radialis
ACB13,ACB,ACB13,Exstirpation av patologisk förändring från n. ulnaris
ACB14,ACB,ACB14,Exstirpation av patologisk förändring från n. peroneus
ACB15,ACB,ACB15,Exstirpation av patologisk förändring från n. tibialis
ACB16,ACB,ACB16,Exstirpation av patologisk förändring från n. ischiadicus
ACB17,ACB,ACB17,Exstirpation av patologisk förändring från plexus lumbalis
ACB18,ACB,ACB18,Exstirpation av patologisk förändring från plexus brachialis
ACB19,ACB,ACB19,Exstirpation av patologisk förändring från annan eller ospecificerad perifer nerv
ACB21,ACB,ACB21,Sutur av n. medianus
ACB22,ACB,ACB22,Sutur av n. radialis
ACB23,ACB,ACB23,Sutur av n. ulnaris
ACB24,ACB,ACB24,Sutur av n. peroneus
ACB25,ACB,ACB25,Sutur av n. tibialis
ACB26,ACB,ACB26,Sutur av n. ischiadicus
ACB27,ACB,ACB27,Sutur av plexus lumbalis
ACB28,ACB,ACB28,Sutur av plexus brachialis
ACB29,ACB,ACB29,Sutur av annan eller ospecificerad perifer nerv
ACB91,ACB,ACB91,Annan operation p.g.a. patologisk förändring eller skada på n. medianus
ACB92,ACB,ACB92,Annan operation p.g.a. patologisk förändring eller skada på n. radialis
ACB93,ACB,ACB93,Annan operation p.g.a. patologisk förändring eller skada på n. ulnaris
ACB94,ACB,ACB94,Annan operation p.g.a. patologisk förändring eller skada på n. peroneus
ACB95,ACB,ACB95,Annan operation p.g.a. patologisk förändring eller skada på n. tibialis
ACB96,ACB,ACB96,Annan operation p.g.a. patologisk förändring eller skada på n. ischiadicus
ACB97,ACB,ACB97,Annan operation p.g.a. patologisk förändring eller skada på plexus lumbalis
ACB98,ACB,ACB98,Annan operation p.g.a. patologisk förändring eller skada på plexus brachialis
ACB99,ACB,ACB99,Annan operation p.g.a. patologisk förändring eller skada på annan eller ospecificerad perifer nerv
ACC,AC,ACC,Operationer på perifera nerver pga funktionella rubbningar
ACC11,ACC,ACC11,Genomskärning av n. medianus
ACC12,ACC,ACC12,Genomskärning av n. radialis
ACC13,ACC,ACC13,Genomskärning av n. ulnaris
ACC14,ACC,ACC14,Genomskärning av n. peroneus
ACC15,ACC,ACC15,Genomskärning av n. tibialis
ACC16,ACC,ACC16,Genomskärning av n. ischiadicus
ACC17,ACC,ACC17,Genomskärning av n. plexus lumbalis
ACC18,ACC,ACC18,Genomskärning av n. plexus brachialis
ACC19,ACC,ACC19,Genomskärning av annan eller ospecificerad perifer nerv
ACC21,ACC,ACC21,Rekonstruktion av n. medianus
ACC22,ACC,ACC22,Rekonstruktion av n. radialis
ACC23,ACC,ACC23,Rekonstruktion av n. ulnaris
ACC24,ACC,ACC24,Rekonstruktion av n. peroneus
ACC25,ACC,ACC25,Rekonstruktion av n. tibialis
ACC26,ACC,ACC26,Rekonstruktion av n. ischiadicus
ACC27,ACC,ACC27,Rekonstruktion av plexus lumbalis
ACC28,ACC,ACC28,Rekonstruktion av plexus brachialis
ACC29,ACC,ACC29,Rekonstruktion av annan eller ospecificerad perifer nerv
ACC41,ACC,ACC41,Transposition av n. medianus
ACC42,ACC,ACC42,Transposition av n. radialis
ACC43,ACC,ACC43,Transposition av n. ulnaris
ACC44,ACC,ACC44,Transposition av n. peroneus
ACC45,ACC,ACC45,Transposition av n. tibialis
ACC46,ACC,ACC46,Transposition av n. ischiadicus
ACC47,ACC,ACC47,Transposition av plexus lumbalis
ACC48,ACC,ACC48,Transposition av plexus brachialis
ACC49,ACC,ACC49,Transposition av annan eller ospecificerad perifer nerv
ACC51,ACC,ACC51,Dekompression av n. medianus
ACC52,ACC,ACC52,Dekompression av n. radialis
ACC53,ACC,ACC53,Dekompression av n. ulnaris
ACC54,ACC,ACC54,Dekompression av n. peroneus
ACC55,ACC,ACC55,Dekompression av n. tibialis
ACC56,ACC,ACC56,Dekompression av n. ischiadicus
ACC57,ACC,ACC57,Dekompression av plexus lumbalis
ACC58,ACC,ACC58,Dekompression av plexus brachialis
ACC59,ACC,ACC59,Dekompression av annan eller ospecificerad perifer nerv
ACC91,ACC,ACC91,Annan operation på n. medianus p.g.a. funktionell rubbning
ACC92,ACC,ACC92,Annan operation på n. radialis p.g.a. funktionell rubbning
ACC93,ACC,ACC93,Annan operation på n. ulnaris p.g.a. funktionell rubbning
ACC94,ACC,ACC94,Annan operation på n. peroneus p.g.a. funktionell rubbning
ACC95,ACC,ACC95,Annan operation på n. tibialis p.g.a. funktionell rubbning
ACC96,ACC,ACC96,Annan operation på n. ischiadicus p.g.a. funktionell rubbning
ACC97,ACC,ACC97,Annan operation på plexus lumbalis p.g.a. funktionell rubbning
ACC98,ACC,ACC98,Annan operation på plexus brachialis p.g.a. funktionell rubbning
ACC99,ACC,ACC99,Annan operation på annan eller ospecificerad perifer nerv p.g.a. funktionell rubbning
ACW,AC,ACW,Andra operationer på perifera nerver
ACW99,ACW,ACW99,Annan operation på perifer nerv
AD,A,AD,Operationer på autonoma nervsystemet
ADA,AD,ADA,Operationer på sympatiska nervsystemet
ADA10,ADA,ADA10,Cervikal sympatektomi
ADA20,ADA,ADA20,Torakal sympatektomi
ADA21,ADA,ADA21,Torakoskopisk sympatektomi
ADA30,ADA,ADA30,Lumbal sympatektomi
ADA31,ADA,ADA31,Laparoskopisk sympatektomi
ADA40,ADA,ADA40,Perkutan transluminal ablation av sympatiska njurnerver
ADA99,ADA,ADA99,Annan operation på sympatiska nervsystemet
ADB,AD,ADB,Operationer på vagusnerver
ADB00,ADB,ADB00,Inläggande av vagusnervsstimuleringsutrustning
ADW,AD,ADW,Andra operationer på autonoma nervsystemet
ADW99,ADW,ADW99,Annan operation på autonoma nervsystemet
AE,A,AE,Diverse operationer på nervsystemet
AEA,AE,AEA,Operationer med stimuleringsutrustning och injektionsport i nervsystemet
AEA00,AEA,AEA00,Byte av impulsgenerator i stimuleringsutrustning i nervsystemet
AEA20,AEA,AEA20,Borttagande av impulsgenerator i stimuleringsutrustning i nervsystemet
AEA23,AEA,AEA23,Borttagande av intrakraniell elektrod
AEA24,AEA,AEA24,Borttagande av spinal stimuleringselektrod
AEA25,AEA,AEA25,Borttagande av stimuleringselektrod
AEA27,AEA,AEA27,Byte av spinal stimuleringselektrod
AEA30,AEA,AEA30,Byte av inopererad pump i injektionsutrustning i nervsystemet
AEA40,AEA,AEA40,Borttagande av inopererad pump i injektionsutrustning i nervsystemet
AEA43,AEA,AEA43,Borttagande av kateter i intrakraniell injektionsutrustning
AEA44,AEA,AEA44,Borttagande av kateter i spinal injektionsutrustning
AW,A,AW,Reoperationer på nervsystemet
AWA,AW,AWA,Reoperation för sårruptur
AWA00,AWA,AWA00,Reoperation för sårruptur efter ingrepp på nervsystemet
AWB,AW,AWB,Reoperation för ytlig infektion
AWB00,AWB,AWB00,Reoperation för ytlig infektion efter ingrepp på nervsystemet
AWC,AW,AWC,Reoperation för djup infektion
AWC00,AWC,AWC00,Reoperation för djup infektion efter ingrepp på nervsystemet
AWD,AW,AWD,Reoperation för ytlig blödning
AWD00,AWD,AWD00,Reoperation för ytlig blödning efter ingrepp på nervsystemet
AWE,AW,AWE,Reoperation för djup blödning
AWE00,AWE,AWE00,Reoperation för djup blödning efter ingrepp på nervsystemet
AWW,AW,AWW,Annan reoperation på nervsystemet
AWW99,AWW,AWW99,Annan reoperation på nervsystemet
B,,B,Operationer på endokrina organ
BA,B,BA,Operationer på sköldkörteln
BAA,BA,BAA,Operationer på sköldkörteln
BAA00,BAA,BAA00,Biopsi av sköldkörteln
BAA05,BAA,BAA05,Exploration av sköldkörteln
BAA10,BAA,BAA10,Incision i sköldkörteln
BAA20,BAA,BAA20,Unilateral resektion av sköldkörteln
BAA25,BAA,BAA25,Bilateral resektion av sköldkörteln
BAA30,BAA,BAA30,Istmusresektion av sköldkörteln
BAA40,BAA,BAA40,Unilateral lobektomi av sköldkörteln
BAA50,BAA,BAA50,Lobektomi och resektion av kontralateral lob på sköldkörteln
BAA60,BAA,BAA60,Tyreoidektomi
BAA99,BAA,BAA99,Annan operation på sköldkörteln
BB,B,BB,Operationer på bisköldkörtlar
BBA,BB,BBA,Operationer på bisköldkörtlar
BBA10,BBA,BBA10,Biopsi av bisköldkörtel
BBA20,BBA,BBA20,Exploration av bisköldkörtel
BBA30,BBA,BBA30,Exstirpation av bisköldkörtel
BBA40,BBA,BBA40,Subtotal paratyreoidektomi
BBA50,BBA,BBA50,Total paratyreoidektomi
BBA70,BBA,BBA70,Implantation eller transplantation av bisköldkörtel
BBA99,BBA,BBA99,Annan operation på bisköldkörtel
BC,B,BC,Operationer på binjurar
BCA,BC,BCA,Operationer på binjurar
BCA10,BCA,BCA10,Biopsi av binjure
BCA11,BCA,BCA11,Laparoskopisk biopsi av binjure
BCA15,BCA,BCA15,Incision i binjure
BCA20,BCA,BCA20,Resektion av binjure
BCA30,BCA,BCA30,Unilateral adrenalektomi
BCA31,BCA,BCA31,"Laparoskopisk adrenalektomi, unilateral"
BCA40,BCA,BCA40,Bilateral adrenalektomi
BCA41,BCA,BCA41,"Laparoskopisk adrenalektomi, bilateral"
BCA99,BCA,BCA99,Annan operation på binjure
BD,B,BD,Operationer på karotiskörtlar
BDA,BD,BDA,Operationer på karotiskörtlar
BDA10,BDA,BDA10,Operation på glomus caroticum
BW,B,BW,Reoperationer på endokrina organ
BWA,BW,BWA,Reoperation för sårruptur
BWA00,BWA,BWA00,Reoperation för sårruptur efter ingrepp på endokrina organ
BWB,BW,BWB,Reoperation för ytlig infektion
BWB00,BWB,BWB00,Reoperation för ytlig infektion efter ingrepp på endokrina organ
BWC,BW,BWC,Reoperation för djup infektion
BWC00,BWC,BWC00,Reoperation för djup infektion efter ingrepp på endokrina organ
BWD,BW,BWD,Reoperation för ytlig blödning
BWD00,BWD,BWD00,Reoperation för ytlig blödning efter ingrepp på endokrina organ
BWE,BW,BWE,Reoperation för djup blödning
BWE00,BWE,BWE00,Reoperation för djup blödning efter ingrepp på endokrina organ
BWW,BW,BWW,Annan reoperation på endokrina organ
BWW99,BWW,BWW99,Annan reoperation på endokrina organ
C,,C,Operationer och speciella undersökningar i ögonregionen
CA,C,CA,Operationer på ögonhålor
CAA,CA,CAA,"Punktioner, incisioner i och biopsier av ögonhålor"
CAA00,CAA,CAA00,Punktion av orbitaabscess
CAA10,CAA,CAA10,Explorativ främre orbitotomi
CAA20,CAA,CAA20,Explorativ lateral orbitotomi
CAA30,CAA,CAA30,Biopsi av orbita
CAB,CA,CAB,Exstirpationer av patologisk förändring från ögonhålor
CAB00,CAB,CAB00,Främre orbitotomi med exstirpation
CAB10,CAB,CAB10,Lateral orbitotomi med exstirpation
CAB40,CAB,CAB40,Exstirpation via transkraniell orbitotomi
CAB50,CAB,CAB50,Orbitotomi med avlägsnande av främmande kropp
CAC,CA,CAC,Operationer på ögonhålors benväggar
CAC00,CAC,CAC00,Rekonstruktion av orbitas benvägg
CAC10,CAC,CAC10,Rekonstruktion av orbitas benvägg med ben- eller hudtransplantat
CAC20,CAC,CAC20,Dekompressiv lateral orbitotomi
CAC30,CAC,CAC30,Dekompressiv orbitotomi till bihålor
CAC40,CAC,CAC40,Transkraniell dekompression av orbitatak eller optikuskanal
CAC42,CAC,CAC42,Dekompression av orbita via koronalt angreppssätt
CAC44,CAC,CAC44,Kombinerad dekompression av orbita
CAC50,CAC,CAC50,Korrektion av medfödd missbildning av orbitas benvägg
CAD,CA,CAD,Utrymning av hel ögonhåla
CAD00,CAD,CAD00,"Exenteration av orbita, täckning med transplantat eller lambå"
CAE,CA,CAE,Operationer vid anoftalmus och efter enukleation eller evisceration av öga
CAE00,CAE,CAE00,Avlägsnande av implantat i orbita
CAE10,CAE,CAE10,Revision och sekundärt inläggande av implantat i orbita
CAE20,CAE,CAE20,Revision av konjunktivalhålan med transplantat
CAW,CA,CAW,Andra operationer på ögonhålor
CAW99,CAW,CAW99,Annan operation på orbita
CB,C,CB,Operationer på ögonlock och ögonbryn
CBA,CB,CBA,Incisioner i och biopsier av ögonlock
CBA00,CBA,CBA00,Incision i ögonlock
CBA10,CBA,CBA10,Biopsi av ögonlock
CBB,CB,CBB,"Incisioner i eller excisioner av ögonlock, avlägsnande av lokal förändring"
CBB00,CBB,CBB00,Excision eller exkokleation av kalazion
CBB10,CBB,CBB10,"Excision av hud, operation för dermatokalasis"
CBB15,CBB,CBB15,Resektion av fettprolaps
CBB20,CBB,CBB20,Resektion av hud och fettprolaps
CBB30,CBB,CBB30,Exstirpation av tumör eller lokal förändring i ögonlock
CBB32,CBB,CBB32,Destruktion av lokal förändring i ögonlock
CBB35,CBB,CBB35,Kryoterapi av tumör eller lokal förändring i ögonlock
CBB40,CBB,CBB40,Elektrokoagulation av tumör eller lokal förändring i ögonlock
CBB50,CBB,CBB50,"Exstirpation av tumör eller lokal förändring i ögonlock, rekonstruktion med transplantat eller lambå"
CBB99,CBB,CBB99,Annat avlägsnande av tumör eller lokal förändring i ögonlock
CBC,CB,CBC,Operationer vid skador på ögonlock
CBC00,CBC,CBC00,Sutur av ögonlock
CBC10,CBC,CBC10,Avlägsnande av främmande kropp i ögonlock
CBC99,CBC,CBC99,Annan operation vid skada på ögonlock
CBD,CB,CBD,Rekonstruktioner av ögonlock
CBD00,CBD,CBD00,Rekonstruktion av ögonlock med primärsutur
CBD10,CBD,CBD10,Rekonstruktion av ögonlock med transplantat eller lambå
CBD11,CBD,CBD11,Öppning av lambå efter ögonlocksrekonstruktion
CBD99,CBD,CBD99,Annan rekonstruktion av ögonlock
CBE,CB,CBE,Operationer för entropium
CBE00,CBE,CBE00,Sutur för entropium
CBE10,CBE,CBE10,Flyttning och sträckning av m. orbicularis oculi vid entropium
